title,description,NER
3 killed in Munshiganj accident,"3 killed in Munshiganj accidentThree people were killed and three others injured when a truck rammed into a CNG-run auto-rickshaw in Sirajdikhan upazila of Munshiganj on Sunday.Two of the deceased were identified as auto-rickshaw driver Ujjwal,35, son of Fakirchan in Dhaka's Keraniganj, and Mamun,38, son of Meher Ali of Thakurgaon district.Sirajdikhan Police Station SI Meer Shahidur said a truck ran over a Dhaka-bound three-wheeler in Tulshikhali area around 8am, leaving the later's driver dead on the spot and five passengers injured.Of the injured, one died on  way to and another at hospital.The injured are undergoing treatment at Mitford Hospital in Dhaka. LY ","[('3', 'CARDINAL'), ('Munshiganj', 'GPE'), ('three', 'CARDINAL'), ('Sirajdikhan', 'GPE'), ('Munshiganj', 'GPE'), ('Sunday', 'DATE'), ('Two', 'CARDINAL'), ('Ujjwal,35', 'PERSON'), ('Fakirchan', 'PERSON'), ('Dhaka', 'GPE'), ('Keraniganj', 'GPE'), ('Mamun,38', 'PERSON'), ('Meher Ali', 'PERSON'), ('Thakurgaon', 'GPE'), ('Sirajdikhan', 'GPE'), ('Meer Shahidur', 'PERSON'), ('Dhaka', 'GPE'), ('three-wheeler', 'QUANTITY'), ('Tulshikhali', 'LOC'), ('around 8am', 'TIME'), ('five', 'CARDINAL'), ('one', 'CARDINAL'), ('Mitford Hospital', 'ORG'), ('Dhaka', 'GPE'), ('LY', 'PERSON')]"
Motorcyclist dies in Panchagarh road accident,"Motorcyclist dies in Panchagarh road accidentA motorcyclist died as lace of his backpack got entangled with the wheel of the bike at Tetulia upazila in Panchagarh district on Saturday evening. Deceased Ripon, 32, was the area manager (FlexiLoad) of Grameenphone in Tetulia. He was the son of Abdul Kader, a resident of Bondibhita village in the upazila.Tetulia Model Police Station officer in-charge (OC) Abu Sayem Mia said the accident took place in Shalbahan Dahuk Bridge area on the Tetulia-Panchagarh highway around 7:30 pm, leaving him dead on the spot.SKD/ALM ","[('Panchagarh', 'GPE'), ('Tetulia', 'GPE'), ('Panchagarh', 'GPE'), ('Saturday', 'DATE'), ('evening', 'TIME'), ('Ripon', 'PERSON'), ('32', 'DATE'), ('Grameenphone', 'FAC'), ('Tetulia', 'GPE'), ('Abdul Kader', 'PERSON'), ('Bondibhita', 'GPE'), ('Tetulia', 'GPE'), ('Abu Sayem Mia', 'PERSON'), ('Shalbahan Dahuk Bridge', 'FAC'), ('Tetulia', 'GPE'), ('around 7:30 pm', 'TIME'), ('SKD/ALM', 'PERSON')]"
Husband makes drama of road accident after 'murder' of wife,"Husband makes drama of road accident after 'murder' of wifeA husband has made a 'drama' of road accident at the city's Hatirjheel area picking up his dead wife on his private car from a flat at Gulshan area. The incident happened on Saturday morning.When Sakibul Alam Mishu was taking his dead wife Jhilik Alam to the Dhaka Medical College Hospital (DMCH), police detained him at Ambagan area on Hatirjheel.Examining the closed-circuit television (CCTV) footage of Mishu's house, police found that four persons were bringing the woman out of the flat and put her into a private car.The slain Jhilik's family complained of murder against the husband. Police arrested Mishu.During primary questioning, Mishu told police that his residence is situated at Road No. 36 in Gulshan-2. He and his wife got out of the residence with their private car. When they reached at Ambagan area in Hatirjheel, he lost control over the car when the vehicle hit a divider there. Losing control, the car got onto the roadside island. He received minor injury in his hand, but his wife Jhilik Alam was critically injured.Mishu said when he rushed his unconscious wife to the DMCH, an on-duty doctor there pronounced her dead. The body was kept at the DMCH morgue.However, Hatirjheel police questioned him as his behaviour was found suspicious. They inquired about him at his Gulshan residence. Later, police went to the residence and examined the CCTV footage. It was noticed in the footage that Jhilik was brought out of the house in an unconscious state.Afterward, Hatirjheel police detained two persons including Mishu.Mother of the 23-year-old Jhilik said her daughter and Mishu had a love affair and they got married in 2018. But, Mishu used to torture his daughter.Gulshan Police Station's sub-inspector (Investigation) Aminul Islam said, ""We examined the CCTV footage. Hatirjheel police arrested two persons including Mishu.""Police also said there were marks of injury on different parts of Jhilik's body.Slain Jhilik's brother-in-law Fahim told police that Jhilik died at her house. However, he doesn't know anything else why his brother told police that she died of road accident.SZA● Woman's body found in car at Hatirjheel, husband detained ","[('Hatirjheel area', 'LOC'), ('Gulshan area', 'LOC'), ('Saturday', 'DATE'), ('morning', 'TIME'), ('Sakibul Alam Mishu', 'PERSON'), ('Jhilik Alam', 'PERSON'), ('the Dhaka Medical College Hospital', 'ORG'), ('Ambagan', 'LOC'), ('Hatirjheel', 'LOC'), ('Mishu', 'PERSON'), ('four', 'CARDINAL'), ('Jhilik', 'PERSON'), ('Mishu', 'PERSON'), ('Mishu', 'PERSON'), ('Road No. 36', 'FAC'), ('Gulshan-2.', 'FAC'), ('Ambagan area', 'LOC'), ('Hatirjheel', 'GPE'), ('Jhilik Alam', 'PERSON'), ('Mishu', 'PERSON'), ('DMCH', 'ORG'), ('DMCH', 'ORG'), ('Hatirjheel', 'GPE'), ('Gulshan', 'GPE'), ('Jhilik', 'PERSON'), ('Hatirjheel', 'GPE'), ('two', 'CARDINAL'), ('Mishu', 'PERSON'), ('23-year-old', 'DATE'), ('Jhilik', 'PERSON'), ('Mishu', 'PERSON'), ('2018', 'DATE'), ('Mishu', 'PERSON'), (""Gulshan Police Station's"", 'ORG'), ('Aminul Islam', 'PERSON'), ('Hatirjheel', 'GPE'), ('two', 'CARDINAL'), ('Mishu', 'PERSON'), ('Jhilik', 'PERSON'), ('Jhilik', 'PERSON'), ('Fahim', 'PERSON'), ('Jhilik', 'PERSON'), ('SZA', 'PERSON'), ('Hatirjheel', 'GPE')]"
Two killed in Barguna road accident,"Two killed in Barguna road accidentTwo persons were killed as a rickshaw and a battery-run three-wheeler (locally known as Tomtom) collided at Sadar upazila in Barguna district on Saturday.The deceased were identified as Uzzal, a tea-stall owner, and Chayan Shil, a college student.Locals said the accident took place in Purbachal area around 12:30 pm, leaving two injured.The injured succumbed to their injuries on their way to Barishal.Barguna Sadar Police Station OC Tariqul Islam said an unnatural death case was filed in this connection.MM/ALM ","[('Two', 'CARDINAL'), ('Barguna', 'GPE'), ('three', 'CARDINAL'), ('Tomtom', 'PRODUCT'), ('Sadar', 'GPE'), ('Barguna', 'GPE'), ('Saturday', 'DATE'), ('Uzzal', 'PERSON'), ('Chayan Shil', 'PERSON'), ('Purbachal', 'GPE'), ('around 12:30 pm', 'TIME'), ('two', 'CARDINAL'), ('Barishal', 'GPE'), ('Barguna Sadar Police Station', 'ORG'), ('Tariqul Islam', 'PERSON')]"
Despite moves govt fails to curb road accidents,"		Despite the government's initiatives it has failed to stop fatal road accidents across the country. The government has failed to prevent unauthorized vehicles, including Easy Bike (battery-run human haulers) and Nasimon (locally-made vehicles), from running on highways.The number of fatal accidents involving three-wheelers is increasing in rural areas as they run on highways side by side with speedy, bigger and stronger vehicles. Recently a deadly crash on the Dhaka-Rajshahi Highway left at least 17 people dead in Rajshahi. Eleven of whom were burnt to death after one of the vehicles caught fire last week. Of the accidents, the highest number of accidents (1127) happened involving motorcycles while the number of bus was 698, truck 931, car and jeeps 410 and the rest were other types of vehicles.The rate of bike accidents was 19 percent in 2019 while it rose by eight percentage points     to 27 percent last year.Ilias Kanchan, the Chairman of the road safety movement, revealed the information at his last press conferences citing the data of Bangladesh Road Transport Authority (BRTA). Ilias Kanchan said 17.53 lakh motorcycle licences were issued against 30.32 lakh registered bikes, meaning 12.79 bikers are riding without licence right under the nose of law enforcers.Although there is positive practice of using helmets in city areas, this practice is missing in the countryside, he said, adding that use of bikes by unlicensed and young bikers as well as political activists with no regard for the law are the main reasons behind the accidents.Talking while riding bikes are also a major reason behind accidents, he said. Imposing restriction on use of bikes by teens, and making training and licence mandatory for bikers is necessary for decreasing the number of accidents.Lack of public transports, infrastructure, skilled and professional drivers, proper planning and awareness among people has contributed to the situation, experts said.The number of fatal accidents involving motorbikes, particularly in the capital, is increasing due to ridesharing services, experts also said.The accident researcher said due to absence of service lanes and alternative transports slow-moving vehicles ran on highways and accidents occurred.  The authorities should introduce buses on highways for small distances to keep slow-moving vehicles off such roads.According to Dhaka Metropolitan Police additional commissioner (traffic) that their main target was to improve the mass transport system.""We are also trying to improve the existing bus system by fixing bus stoppages, introducing locked-door and air-conditioned buses,"" a police source said, adding, ""The number of private vehicles should be reduced and people should be encouraged to use buses.""Then the demand for motorcycles would also go down, he observed. ""We are trying our best to reduce the number of accidents and casualties,"" he added.According to BRTA statistics, the number of total registered motor vehicles in the capital last year was 14.93 lakh out of which around 46 percent was motorcycles.The total number of registered motorbikes in Dhaka was 46,764 in 2015, which increased to 53,738 in 2016, to 75,251 in 2017, to 1.07 lakh in 2018 to 1.21 lakh in 2019 and over 1.32 lakh in 2020. ","[('Easy Bike', 'PRODUCT'), ('Nasimon', 'PRODUCT'), ('three', 'CARDINAL'), ('the Dhaka-Rajshahi Highway', 'FAC'), ('at least 17', 'CARDINAL'), ('Rajshahi', 'GPE'), ('Eleven', 'CARDINAL'), ('one', 'CARDINAL'), ('last week', 'DATE'), ('1127', 'CARDINAL'), ('698', 'CARDINAL'), ('931', 'CARDINAL'), ('410', 'CARDINAL'), ('19 percent', 'PERCENT'), ('2019', 'DATE'), ('eight percentage', 'PERCENT'), ('27 percent', 'PERCENT'), ('last year', 'DATE'), ('Ilias Kanchan', 'PERSON'), ('Bangladesh Road Transport Authority', 'ORG'), ('BRTA', 'ORG'), ('Ilias Kanchan', 'PERSON'), ('17.53 lakh', 'CARDINAL'), ('30.32 lakh', 'CARDINAL'), ('12.79', 'CARDINAL'), ('BRTA', 'ORG'), ('last year', 'DATE'), ('14.93 lakh', 'CARDINAL'), ('around 46 percent', 'PERCENT'), ('Dhaka', 'GPE'), ('46,764', 'CARDINAL'), ('2015', 'DATE'), ('53,738', 'CARDINAL'), ('2016', 'DATE'), ('75,251', 'CARDINAL'), ('2017', 'DATE'), ('1.07 lakh', 'CARDINAL'), ('2018', 'DATE'), ('1.21 lakh', 'CARDINAL'), ('2019', 'DATE'), ('2020', 'DATE')]"
"Man, daughter killed in Pabna accident","Man, daughter killed in Pabna accidentA man and his minor daughter were killed while his wife injured in a road accident in Sadar upazila of Pabna n Friday morning.The deceased were identified as Alamgir Hossain,36, and his daughter Sinha,6, of Ashutoshpur village under Dogachhi union.Alamgir's wife Nasrin Akhter,30, was admited to Pabna General Hospital.Police said Alamgir, on way to Sujanagar, parked his motorcycle beside the road and was talking over mobile phone around 9am.A speeding truck coming fom behind hit the motorcycle, leaving Alamgir and  his daughter dead on the spot and injured Nasrin.Nasrin was first rushed to the Upazila Health Complex and then shifted to Pabna General Hospital following deterioration of his condition.Angered by the accident, locals vandalised the truck. But, its driver and his assistant managed to flee the scene, said Sadar Police OC Nasim Ahmed.LY ","[('Pabna', 'GPE'), ('Sadar', 'GPE'), ('Pabna', 'GPE'), ('Friday morning', 'TIME'), ('Alamgir Hossain,36', 'PERSON'), ('Sinha,6', 'PERSON'), ('Ashutoshpur', 'GPE'), ('Dogachhi', 'NORP'), ('Alamgir', 'PERSON'), ('Nasrin Akhter,30', 'PERSON'), ('Pabna General Hospital', 'ORG'), ('Alamgir', 'PERSON'), ('Sujanagar', 'GPE'), ('around 9am', 'TIME'), ('Alamgir', 'PERSON'), ('Nasrin', 'PERSON'), ('Nasrin', 'PERSON'), ('first', 'ORDINAL'), ('the Upazila Health Complex', 'FAC'), ('Pabna General Hospital', 'ORG'), ('Sadar', 'GPE'), ('Nasim Ahmed', 'PERSON'), ('LY', 'PERSON')]"
Four killed in Ctg road accident,"		CHATTOGRAM, Mar 31: Four people were killed when a truck rammed a CNG run auto-rickshaw on Chatogram-Kaptai road at Goschi Nayahat in Raozan upazila of Chattogram district early Wednesday.The deceased were identified as Mohamamd Shahjahan, 33, son of Abul Kalam of Rangunia upaizla, Mohammad Siraj, 55, son of Delu Majhi of Hatiya upazila in Noakhali district, Morshed, son of Shah Alam and Mohammad Idris, 40 of Chattogram city.The accident occurred around 3 am when the sand-laden Chattogram-bound truck hit the Rangunia-bound CNG-run auto-rickshaw, leaving four people dead on the spot, said in-charge of Noapara police camp Humayun Kabir.On information, a firefighting unit rushed in and recovered the bodies.    -UNB ","[('CHATTOGRAM', 'GPE'), ('Mar 31', 'DATE'), ('Four', 'CARDINAL'), ('Chatogram-Kaptai', 'FAC'), ('Goschi Nayahat', 'GPE'), ('Raozan', 'GPE'), ('Chattogram', 'GPE'), ('early Wednesday', 'TIME'), ('Mohamamd Shahjahan', 'PERSON'), ('33', 'DATE'), ('Abul Kalam', 'PERSON'), ('Rangunia', 'GPE'), ('Mohammad Siraj', 'PERSON'), ('55', 'DATE'), ('Delu Majhi', 'PERSON'), ('Hatiya', 'GPE'), ('Noakhali', 'GPE'), ('Morshed', 'PERSON'), ('Shah Alam', 'PERSON'), ('Mohammad Idris', 'PERSON'), ('40', 'DATE'), ('Chattogram', 'GPE'), ('around 3 am', 'TIME'), ('Chattogram', 'GPE'), ('Rangunia', 'GPE'), ('CNG', 'ORG'), ('four', 'CARDINAL'), ('Noapara', 'GPE'), ('Humayun Kabir', 'PERSON')]"
Mother-daughter among 3 killed in Sylhet road accident,"Mother-daughter among 3 killed in Sylhet road accidentThree people including a mother and daughter were killed and two others injured as a bus rammed into a CNG-run auto-rickshaw at Dakkhin Surma upazila in Sylhet on Wednesday afternoon.The deceased were identified as auto-rickshaw driver Shamim Mia, 35, of Osmaninagar upazila, Rahela Begum, 50, and her daughter Kamrun Nesa Shipa, 20, of Bishwanath upazila.Witnesses said a passenger bus hit the auto-rickshaw from the behind at Lal Bazar area on Dhaka-Sylhet Highway around 4:00 pm, leaving two dead on the spot and three others injured.The injured were taken to Sylhet MAG Osmani Medical College Hospital.Kamrun Nesa died on the way to the hospital.The bodies were kept at the hospital morgue.Dakkhin Surma Police Station officer in-charge (OC) Monirul Islam confirmed the matter. ALM ","[('3', 'CARDINAL'), ('Sylhet', 'GPE'), ('two', 'CARDINAL'), ('CNG', 'ORG'), ('Dakkhin Surma upazila', 'GPE'), ('Sylhet', 'GPE'), ('Wednesday', 'DATE'), ('Shamim Mia', 'PERSON'), ('35', 'DATE'), ('Osmaninagar', 'GPE'), ('Rahela Begum', 'PERSON'), ('50', 'DATE'), ('Kamrun Nesa Shipa', 'PERSON'), ('20', 'DATE'), ('Bishwanath', 'GPE'), ('Lal Bazar area', 'LOC'), ('Dhaka-Sylhet Highway', 'FAC'), ('around 4:00 pm', 'TIME'), ('two', 'CARDINAL'), ('three', 'CARDINAL'), ('Sylhet', 'GPE'), ('Kamrun Nesa', 'PERSON'), ('Dakkhin Surma Police Station', 'ORG'), ('Monirul Islam', 'PERSON'), ('ALM', 'PERSON')]"
Man killed in Mymensingh road accident,"Man killed in Mymensingh road accident A man was killed in a road accident in Mymensingh’s Haluaghat upazila on Monday.The deceased was identified as Anik, 25, son of Md. Salam, resident of Atuajungle village in the upazila.Locals said a truck hit a motorcycle in Rogunathpur area at noon, leaving Anik critically injured. He succumbed to his injuries on way to Mymensingh Medical College Hospital. Haluaghat Police Station OC Mahmudul Hasan confirmed the matter.JC/GY  ","[('Mymensingh', 'GPE'), ('Mymensingh', 'GPE'), ('Haluaghat', 'GPE'), ('Monday', 'DATE'), ('Anik', 'PERSON'), ('25', 'DATE'), ('Md. Salam', 'PERSON'), ('Atuajungle village', 'GPE'), ('Rogunathpur', 'GPE'), ('noon', 'TIME'), ('Anik', 'PERSON'), ('Mymensingh Medical College Hospital', 'ORG'), ('Mahmudul Hasan', 'PERSON')]"
3 killed in Ctg road accident,"3 killed in Ctg road accidentThree people were killed in a road accident in Lohagara of Chattogram early Sunday.One of the deceased was identified as Shah Alam, hailed from Ukhiya in Cox's Bazar.Dohazari Highway Police OC M Abdur Rab told media that a microbus hit hard a srtationery truck from behind in front of Padua union parishad office around 3:30am, leaving one dead on the spot and two injured.The two injured died at a hospital in Chakoria.LY                                                	    ","[('3', 'CARDINAL'), ('Lohagara', 'GPE'), ('Chattogram', 'GPE'), ('early Sunday', 'TIME'), ('One', 'CARDINAL'), ('Shah Alam', 'PERSON'), ('Ukhiya', 'GPE'), (""Cox's Bazar"", 'GPE'), ('Dohazari Highway Police', 'ORG'), ('M Abdur Rab', 'PERSON'), ('Padua', 'GPE'), ('around 3:30am,', 'TIME'), ('one', 'CARDINAL'), ('two', 'CARDINAL'), ('two', 'CARDINAL'), ('Chakoria', 'GPE')]"
Driver of Hanif Paribahan bus held over Friday’s fatal accident,"		RAJSHAHI, Mar 27: the driver of the Hanif Paribahan bus whose reckless driving led to Friday's fatal accident in Rajshahi was arrested on Saturday.The arrestee, Md Abdur Rahim, 35, is the son of Fazlur Rahman of Pirgacha village under Puthia upazila.  Police arrested him from Mohendra bypass under Belpukur Police Station at around 2:00pm on charges of killing 17 people and injuring several others by reckless driving at Katakhali in Rajshahi. Friday's road accident on Dhaka-Rajshahi highway left 17 people dead, 11 of whom were burnt to death after a vehicle caught fire. Nur Mohammad, sub-inspector of Rajshahi's Katakhali Police Station, filed the case with Puthia Police Station against Driver Md Abdur Rahim.The driver has been made accused for reckless driving, endangering human life, hurting public safety and for ""culpable homicide"", Motiar Rahman, officer-in-charge of Katakhali Police Station, said the arrested driver of Hanif Paribahan hit a microbus driving his bus recklessly on Friday, leaving 17 people on board the vehicle burnt alive and injuring several others.According to the relatives of the deceased, members of five families were going to Rajshahi from Rangpur's Pirganj by the microbus for attending a picnic.  The passengers of the microbus were Salahuddin, his wife Kamrunnahar, their children Sajid and Saba and Kamrunnahar's sister Shamsunnahar of Rajarampur village; Boro Majidpur village's Phul Miah, his wife Nazma and their children Sumaiya, Sadia and Foysal; Mokhlesur Rahman and his wife Parvin Begum of Darikapara village; Tajul Islam Bhutto, his wife Mukta, and their child Eyamin of Pirganj Sadar; and Shahidul Islam and Hanif, the driver of the microbus, of Duramithipur village.Mokhlesur and Parvin's son Pavel is now at the ICU of Rajshahi Medical College Hospital (RMCH). On the other hand, the helper of the Hanif Paribahan's bus is also undergoing treatment at the hospital.The bodies were handed over to their families after post-mortem examinations at Rajshahi Medical College Hospital morgue on Saturday. ","[('RAJSHAHI', 'GPE'), ('Mar 27', 'DATE'), ('Hanif Paribahan', 'ORG'), ('Friday', 'DATE'), ('Rajshahi', 'GPE'), ('Saturday', 'DATE'), ('Md Abdur Rahim', 'PERSON'), ('35', 'DATE'), ('Fazlur Rahman', 'PERSON'), ('Pirgacha', 'GPE'), ('Puthia', 'GPE'), ('Mohendra bypass', 'FAC'), ('Belpukur Police Station', 'FAC'), ('around 2:00pm on charges', 'TIME'), ('17', 'CARDINAL'), ('Katakhali', 'GPE'), ('Rajshahi', 'GPE'), ('Friday', 'DATE'), ('Dhaka', 'GPE'), ('17', 'CARDINAL'), ('11', 'CARDINAL'), ('Nur Mohammad', 'PERSON'), ('Rajshahi', 'GPE'), ('Katakhali Police Station', 'ORG'), ('Puthia Police Station', 'ORG'), ('Md Abdur Rahim', 'PERSON'), ('Motiar Rahman', 'PERSON'), ('Katakhali Police Station', 'ORG'), ('Hanif Paribahan', 'ORG'), ('Friday', 'DATE'), ('17', 'CARDINAL'), ('five', 'CARDINAL'), ('Rajshahi', 'GPE'), ('Rangpur', 'GPE'), ('Pirganj', 'GPE'), ('Salahuddin', 'PERSON'), ('Kamrunnahar', 'PERSON'), ('Sajid', 'PERSON'), ('Saba', 'PERSON'), ('Kamrunnahar', 'PERSON'), ('Shamsunnahar', 'PERSON'), ('Rajarampur village', 'GPE'), (""Boro Majidpur village's"", 'GPE'), ('Phul Miah', 'PERSON'), ('Nazma', 'PERSON'), ('Foysal', 'PERSON'), ('Mokhlesur Rahman', 'PERSON'), ('Parvin Begum', 'PERSON'), ('Darikapara village', 'GPE'), ('Tajul Islam Bhutto', 'PERSON'), ('Mukta', 'PERSON'), ('Eyamin', 'PERSON'), ('Pirganj Sadar', 'GPE'), ('Shahidul Islam', 'PERSON'), ('Hanif', 'PERSON'), ('Duramithipur village', 'GPE'), ('Mokhlesur', 'PERSON'), ('Parvin', 'PERSON'), ('Pavel', 'PERSON'), ('Rajshahi Medical College Hospital', 'ORG'), ('RMCH', 'ORG'), ('Rajshahi Medical College Hospital', 'ORG'), ('Saturday', 'DATE')]"
Hanif Paribahan driver arrested over Friday’s fatal accident,"Hanif Paribahan driver arrested over Friday’s fatal accidentDriver of the Hanif Paribahan bus whose reckless driving led to Friday's fatal accident in Rajshahi was arrested by police on Saturday.Abdur Rahim was arrested from Mohendra bypass under Belpukur Police Station at about 2:00pm on charges of killing 17 people and injuring several others through reckless driving at Katakhali in Rajshahi.He is the son of Fazlur Rahman of village Pirgacha under Puthia upazila.Katakhali police filed a case against him on Friday night for killing 17 persons and injuring several others through reckless driving.Hanif Paribahan driver arrested over Friday’s fatal accidentMotiar Rahman, officer-in-charge of Katakhali police station, said the arrested driver of Hanif Paribahan hit a microbus driving his bus recklessly on Friday, leaving 17 people on board the vehicle burnt alive and injuring several others.The arrested driver was driving the Hanif Paribahan bus and collided with the microbus and a CNG-run auto-rickshaw, leaving 17 burnt alive on the spot. Only one passenger of the microbus survived. According to the relatives of the deceased, members of five families were going to Rajshahi from Rangpur's Pirganj by the microbus for attending a picnic.  The passengers of the microbus were Salahuddin, his wife Kamrunnahar, their children Sajid and Saba and Kamrunnahar's sister Shamsunnahar of Rajarampur village; Boro Majidpur village's Phul Miah, his wife Nazma and their children Sumaiya, Sadia and Foysal; Mokhlesur Rahman and his wife Parvin Begum of Darikapara village; Tajul Islam Bhutto, his wife Mukta, and their child Eyamin of Pirganj Sadar; and Shahidul Islam and Hanif, the driver of the microbus, of Duramithipur village.Mokhlesur and Parvin's son Pavel is now at the ICU of Rajshahi Medical College Hospital (RMCH). On the other hand, the helper of the Hanif Paribahan's bus is also undergoing treatment at the hospital.The bodies of the deceased have been kept in the RMCH morgue and they will be handed over to their families after autopsy and DNA collection, according to the police.SZA ","[('Hanif', 'NORP'), ('Friday', 'DATE'), ('Hanif Paribahan', 'ORG'), ('Friday', 'DATE'), ('Rajshahi', 'GPE'), ('Saturday', 'DATE'), ('Abdur Rahim', 'PERSON'), ('Mohendra bypass', 'FAC'), ('Belpukur Police Station', 'FAC'), ('about 2:00pm on charges', 'TIME'), ('17', 'CARDINAL'), ('Katakhali', 'GPE'), ('Rajshahi', 'GPE'), ('Fazlur Rahman', 'PERSON'), ('Pirgacha', 'GPE'), ('Puthia', 'GPE'), ('Katakhali', 'GPE'), ('Friday night', 'TIME'), ('17', 'CARDINAL'), ('Hanif Paribahan', 'ORG'), ('Friday', 'DATE'), ('accidentMotiar Rahman', 'PERSON'), ('Katakhali', 'GPE'), ('Hanif Paribahan', 'ORG'), ('Friday', 'DATE'), ('17', 'CARDINAL'), ('Hanif Paribahan', 'ORG'), ('CNG', 'ORG'), ('17', 'CARDINAL'), ('five', 'CARDINAL'), ('Rajshahi', 'GPE'), ('Rangpur', 'GPE'), ('Pirganj', 'GPE'), ('Salahuddin', 'PERSON'), ('Kamrunnahar', 'PERSON'), ('Sajid', 'PERSON'), ('Saba', 'PERSON'), ('Kamrunnahar', 'PERSON'), ('Shamsunnahar', 'PERSON'), ('Rajarampur village', 'GPE'), (""Boro Majidpur village's"", 'GPE'), ('Phul Miah', 'PERSON'), ('Nazma', 'PERSON'), ('Sumaiya', 'PERSON'), ('Sadia', 'PERSON'), ('Foysal', 'PERSON'), ('Mokhlesur Rahman', 'PERSON'), ('Parvin Begum', 'PERSON'), ('Darikapara village', 'GPE'), ('Tajul Islam Bhutto', 'PERSON'), ('Mukta', 'PERSON'), ('Eyamin', 'PERSON'), ('Pirganj Sadar', 'GPE'), ('Shahidul Islam', 'PERSON'), ('Hanif', 'PERSON'), ('Duramithipur village', 'GPE'), ('Mokhlesur', 'PERSON'), ('Parvin', 'PERSON'), ('Pavel', 'PERSON'), ('Rajshahi Medical College Hospital', 'ORG'), ('RMCH', 'ORG'), (""the Hanif Paribahan's"", 'PERSON'), ('RMCH', 'ORG'), ('SZA', 'PERSON')]"
Police constable killed in Gopalganj road accident,"Police constable killed in Gopalganj road accidentA police constable was killed in a road accident in Gopalganj’s Muksudpur upazila on Saturday.The deceased was identified as Shafiqul Islam, 55.Locals said a microbus hit a motorcycle in Dasherhaat area at 7.00am, leaving its rider Shadiqul dead on the spot.Muksudpur Police Station OC Abu Bakkar Miah confirmed the matter.MH/GY ","[('Gopalganj', 'GPE'), ('Gopalganj', 'GPE'), ('Muksudpur', 'GPE'), ('Saturday', 'DATE'), ('Shafiqul Islam', 'PERSON'), ('Dasherhaat', 'LOC'), ('7.00am', 'TIME'), ('Shadiqul', 'PERSON'), ('Muksudpur Police Station', 'ORG'), ('Abu Bakkar Miah', 'PERSON')]"
Motorcyclist killed in Manikganj road accident,"Photo of deceased Md Hossain.A motorcyclist was killed as a truck hit his vehicle at Sadar upazila in Manikganj district on Tuesday morning.Deceased Md Hossain, 32, was the son of Nasim Uddin, a resident of Ghior upazila. Golra Highway Police Station officer in-charge (OC) Md Manirul Islam said a truck rammed into Hossain’s motorcycle from behind at Manra area on the Dhaka-Aricha highway around 11 am, leaving him dead on the spot.Police, later, recovered the body and sent it to Manikganj Sadar Hospital morgue. The truck was recovered, but its driver and helper fled the scene.AAL/ALM  ","[('Md Hossain', 'PERSON'), ('Sadar', 'GPE'), ('Manikganj', 'GPE'), ('Tuesday', 'DATE'), ('morning', 'TIME'), ('Md Hossain', 'PERSON'), ('32', 'DATE'), ('Nasim Uddin', 'PERSON'), ('Ghior', 'GPE'), ('Golra Highway Police Station', 'ORG'), ('Md Manirul Islam', 'PERSON'), ('Hossain', 'PERSON'), ('Manra', 'GPE'), ('Dhaka', 'GPE'), ('around 11 am', 'TIME'), ('Manikganj Sadar Hospital', 'ORG'), ('AAL/ALM', 'PERSON')]"
Twelve women among 13 killed in India road accident,"Twelve women among 13 killed in India road accidentA total of 13 persons, including 12 women and a man, died after the auto-rickshaw carrying them collided with a speeding bus in Old Chawni area in Gwalior of India on Tuesday morning.Gwalior SP Amit Sanghi said the accident took place around 7 am when the women, who were cooks at an ''anganwadi kendra'' were returning home after work, said a NDTV report.Among the deceased, eight women and the auto-rickshaw driver died on the spot, the others succumbed to their injuries in hospital, he said.ALM ","[('Twelve', 'CARDINAL'), ('13', 'CARDINAL'), ('India', 'GPE'), ('13', 'CARDINAL'), ('12', 'CARDINAL'), ('Old Chawni', 'LOC'), ('Gwalior', 'GPE'), ('India', 'GPE'), ('Tuesday', 'DATE'), ('Gwalior', 'GPE'), ('Amit Sanghi', 'PERSON'), ('around 7 am', 'TIME'), ('NDTV', 'ORG'), ('eight', 'CARDINAL'), ('ALM', 'PERSON')]"
Motorcyclist killed in Mymensingh road accident,"Motorcyclist killed in Mymensingh road accidentA motorcyclist was killed as a truck ran over his vehicle at Gafargaon upazila in Mymensingh district on Monday night.Deceased Tariqul Islam Bidhu, 26, was the son of Rafiqul Islam, a resident of Gafargaon municipality.Local sources said Tariqul was run over by a sand-laden truck in Jamtala intersection area around 10 pm when he was overtaking the vehicle, leaving him critically injured.He was first taken to local Upazila Health Complex and later he succumbed to his injuries on the way to Mymensingh Medical College Hospital.Gafarfgaon Police Station officer in-charge (OC) Anukul Sarkar said the truck driver was detained and legal action would be taken.MA/ALM ","[('Mymensingh', 'GPE'), ('Gafargaon', 'GPE'), ('Mymensingh', 'GPE'), ('Monday night', 'TIME'), ('Tariqul Islam Bidhu', 'PERSON'), ('26', 'DATE'), ('Rafiqul Islam', 'PERSON'), ('Gafargaon', 'GPE'), ('Tariqul', 'PERSON'), ('Jamtala', 'GPE'), ('around 10 pm', 'TIME'), ('first', 'ORDINAL'), ('Upazila Health Complex', 'FAC'), ('Mymensingh Medical College Hospital', 'ORG'), ('Gafarfgaon Police Station', 'ORG'), ('Anukul Sarkar', 'PERSON')]"
