,title,news
52,"Trolley driver, biker  killed in road accident","The deceased were identified as motorbike driver Shakil Ahmed, 25, of Chandpur village of Harinakundu upazila, and trolley driver Shfiq Uddin, 30, son of Humayun Ahmed of  Basu­devpur village in Jhenidah Sadar upazila.Quoting locals, Officer-in-Charge (OC) of Harinakundu police station Abdur Rahim said that the trolley driver Shafiq was marching towards Harinakundu with his trolley to bring earth for a brick kilns in Jhenaidah. When he arrived near Parmathurapur village of Harinakundu upazila, a motorbiker from the opposite direction had hit his trolley. The driver of the trolley lost control over the wheel and skidded off the road, leaving driver Shafiq on the spot.On the other hand, Motorbiker Shakil was rushed to Jhenaidah Sadar hospital in a critical state and later he succumbs to his injuries on the way to Faridpur medical college and hospital, the police said."
53,Chapainawabganj MP stands  by road accident victims,"He made the announcement at a mourning rally on the premises of Baliadangi Nurani Hafizia Madrasa on Saturday (November 21). Earlier, he visited residences of the victims. MP Shimul handed over cash to family members of the victims at the mourning rally. However, he asked the local UP chairman to provide VGF cards to 16 families. At the event, the helpless families were also provided food items. MP Shimul said that he would treatment expenditure of the people those who were injured in the accident and to construct residences on the land of the slain people.On November19, eight persons were killed and some others were injured as a paddy-laden vehicle, locally known as Bhutbhuti, plunged into a roadside ditch at Barek Bazar under Shibganj upazila.The deceased are Abul Kashem, Md. Babu, Tajamul, Md. Mithun, Md. Karim, Md. Minu and Ahad Ali of Baliadighi village under Shibganj upazila and Md. Ataur Rahman of Laughata village under the same upazila. All are farmland labourers.They were returning home from Niamatpur in Naogaon district with their harvest riding on the sacks of paddy. Seven of them fell under the sacks and died and Ahad Ali died on the way to the hospital."
54,Driver killed in Jashore road accident,"The injured were rescued and admitted to Jashore General Hospital. The condition of one of them is critical.Injured Shaon and Kamrul said they were going to Sreepur in Magura with fish by a pickup from Satkhira. When they reached Bhatar Amtala area, the accident took place. The pickup driver died on the spot. Later, locals and fire service personnel rescued and admitted them to the hospital."
55,2 killed in Mymensingh road accident,"The deceased  were identified as Polash, son of Amzad Ali of Parail village under Mymensingh sadar upazila, and Chameli, daughter of Heleluddin from Churkhai area.Officer-in-Charge (OC) of Kotwali model police station Firoz Talukder confirmed the matter. He said that the accident took place as human hauler, locally known as Mahindra, hit a stationary covered van from behind on Dhaka-Mymensingh highway around 10:00 am, leaving two passengers of the Mahindra dead on the spot and several injured. The bodies were recovered and the injured persons were sent to Mymensingh Medical College and Hospital, he added.Two killed in Mymensingh road accident MYMENSINGH, Nov 13, 2020 (BSS) – Two passengers of a human hauler (locally known as Mahendra) were killed and four others injured in a road accident in the city’s Shikarikanda area on the Dhaka-Mymensingh highway this morning.The deceased were identified as Polash Miah, 30, son of late Elahi Miah of Sonakhali village and Chameli Akter, 25, wife of Moti Miah of Ponghagra in Mymensingh sadar upazila.Quoting locals, Sub-Inspector (SI) of Kotwali Police Station Md Mehdi Hasan said the accident occurred when a Mymensingh-bound human hauler knocked a covered van from behind in the area around 10am, leaving the duo dead on the spot and injuring four others.Of the injured, Somrat, Kahinoor and Rafi were admitted at Mymensingh Medical College Hospital (MMCH) while another injured went to home after taking first aid at the hospital, the SI added.Police recovered the bodies and sent them to MMCH morgue for autopsy.The police team also seized the human hauler and a case was lodged in this connection."
56,3 killed in Tangail road accident,"The deceased were identified as Shuvo Akter Sany, 18, son of Barek Mia of Jalalia village under Delduar upazila, Momtahia Sukonna, 18, daughter of Abdul Mannan of Kagmari of Tangail sadar upazila, and Bappi, 22, son of Mostofa Miah of Korotia bypass area of Tangail Sadar upazila.Bahalul Islam Khan, officer-in-charge (OC-investigation) of Nagarpur police station, confirmed the matter. He said that the accident took place when a Manikganj-bound truck coming from opposite direction hit the Nagarpur-bound motorcycle, leaving the girl on the spot. The two others were declared dead at Nagorpur Upazila Health Complex on arrival. The police seized the truck and brought it to Nagarpur police station; but the driver managed to escape."
57,2 killed in Tangail road accident ,"The deceased were identified as Shah Alam Selim, 25, supervisor of bus, son of Azahar Ali, hailing from Telia village in Mirzapur upazila and truck driver Mizanur Rahman Sheikh, 28, son of Nur Islam Sheikh, from Nurullapur village in Morrelganj upazila of Bagerhat.Matiur Rahman, sub-inspector of Elenga police outpost, confirmed the matter. He said the North Bengal-bound passenger bus from Dhaka collide with the truck coming from opposite direction in the area this morning, leaving the truck drive and the bus supervisor dead on the spot and eight others injured.Later, the injured were taken to Tangail General Hospital, he added."
58,4 of a family killed in B’baria road accident,"The deceased were identified as Nabalok Miah, 72, of Jatrapur village under Muradnagar upazila in Cumilla district, his wife Ayesha Khatun, 60, his younger brother’s wife Fatema, 55, and granddaughter Nadia, 5.Police said the Cumilla-bound truck hit a private car coming from the opposite direction in Syedabad area around 2:30pm. Later the truck hit the auto-rickshaw and fell into a roadside ditch as its driver lost control over the vehicle, leaving all eight passengers of the auto-rickshaw injured.The injured were sent to Brahmanbaria General Hospital where on-duty doctors declared four of them dead, said Mahbubur Rahman, Officer-in-Charge (OC) of Khantihata Highway Police Station.Later, the injured people were referred to Dhaka as their condition deteriorated."
59,"Grandma, grandson killed in Munshiganj road accident","Police said the accident occurred as Minu Mallik, 70, and her grandson Achin Mallik, 8, got hit by a brown colour speedy sedan as they were trying to cross the road. Achin died on the spot while Minu was declared dead at Shrinagar Upazila Health Complex.Locals blockaded the road for an hour, demanding quick arrest of the killer driver and construction of a foot-over bridge on that spot. Later, local police convinced them to remove the blockade.Shrinagar Upazila Parishad Chairman Md Mosiur Rahman Mamun also demanded to construct a foot-over bridge on this expressway."
60,Teacher killed in road accident,"The deceased was identified as Majnur Rahman, 39, an assistant teacher in the agriculture department of Sahapur Dakhil Madrasa in the upazila. He was the son of Amjad Hossain of Haritkidanga village under Dhamairhat union of the upazila.On the way to Sahapur Mor (Nayapukur), a tractor loaded with sand at a reckless speed from the opposite direction pushed Majnu, the driver of the motorcycle, and crushed his right leg.Immediately the locals took him to the Upazila Health Complex. When his condition deteriorated, he died on the way to Rajshahi Medical College Hospital around 10 am. Police have seized the deadly tractor. However, the driver and his assistant absconded.Dhamairhat police station Inspector (investigation) Abul Kalam Azad said, as no one lodged a complaint with the police station, the body was handed over to the family after autopsy."
61,2 killed in Rajshahi road accidents,"The deceased were identified as Abdus Salam, 50, an onion businessman of Telipara village under Puthiya upazila and Nasir Uddin, 29, son of Idrish Ali of Kasimala village under Mohanpur upazila.Businessman Salam met a fatal road accident when his motorbike collided head-on with a pickup van laden with betel leaf at Ujankhali village under Durgapur Upazila in the district in the morning. He was immediately rushed to Rajshahi Medical College Hospital where he succumbed to his injuries.On the other hand, a Rajshahi-bound passenger bus suddenly knocked down pedestrian Nasir Uddin at Bidirpur village on Rajshahi-Naogaon highway under Mohanpur upazila. He died on the spot. Five other people were also injured in the accident. They were taken to the RMCH. Police seized the bus but its driver managed to escape, said Mustaque Ahemd, Officer-in-Charge of Mohanpur Police Station."
62,"Mother-daughter killed, 9 injured in Natore road accident","The accident took place at noon on Monday (October 26) in Lalpur upazila on the Natore-Pabna highway.The deceased were identified as Josna Begum and her daughter Rozina Khatun of Muladli area in Ishwardi upazila of Pabna district.According to family sources, the deceased Josna was on her way to Natore Mission Hospital from Pabna with her daughter to perform throat surgery.Shafiqul Islam, Officer-in-Charge (OC) of Bonpara Highway Police Station, said, “A passenger bus travelling from Pabna to Rajshahi lost control and fell into a ditch on the Natore-Pabna highway. Josna Begum was killed on the spot and at least ten others were injured.”He added, “Police and fire service personnel with the help of locals rescued the victims and admitted them to the local clinic. Josna Begum’s daughter Rozina Khatun died on the way to Rajshahi Medical College Hospital for advanced treatment as her condition was critical.”The OC also said that the bus involved in the accident has been rescued."
63,Move to halve road accidents by 2030,"This announcement came at a virtual meeting on Saturday while signing a memorandum of understanding at an event titled “Road Safety Collaboration: Reducing Road Fatalities 50 percent by 2030.”The World Bank and BRAC signed a Memorandum of Understanding to engage the organizations in a collaborative move to improve road safety in Bangladesh that needs to make a multi-sectoral effort involving law enforcement, the issue of driving licenses, engineering, awareness raising and post-accident trauma care.At an online event on the day, Obaidul Quader, the Minister of Road Transport and Bridges, inaugurated the program under this partnership.The event also launched a Road Safety Awareness Campaign along the 48 KM Jessore-Jhenaidah corridor as part of the partnership. The campaign will complement the World Bank supported WeCARE project, which was approved in June 2020 and aims to upgrade the existing two-lane highway, Bhomra-Satkhira-Navaron, and Jahore-Jhenaidah to a safer four-lane highway. BRAC and the World Bank will partner together to promote safety for women in public transport systems and conduct training and skills building for drivers, including women drivers. BRAC’s driving school’s initiative ‘women behind the wheels’ trained so far about 214 women as professional drivers.Globally, about 1.35 million people die every year in road accidents. In Bangladesh, road crashes are the fourth leading cause of death of children aged between 5 and 14, and 67 percent of victims are within the 15-49 age group. In the event, Obaidul Quader praised the joined initiative by the World Bank and BRAC and said, ""Under the leadership of Honorable Prime Minister Sheikh Hasina, Bangladesh has taken actions to achieve the Sustainable Development Goal of cutting the number of road traffic fatalities by half within the next decade.”With more awareness and safer behaviors by road users, training of drivers, and better roads, Bangladesh is taking a comprehensive approach for ensuring road safety, he mentioned.He also assured that his ministry will provide full support regarding the training and employment of female drivers.Dandan Chen, acting country director for Bangladesh and Bhutan, said, “Road safety has become an economic and development priority for any country.” She said “We are proud to be part of the government’s commitment to better road safety through a National Road Safety Program.” “Our partnership with BRAC will reinforce the support to the program   for improving road safety in both rural and urban areas in Bangladesh,” she added. The collaboration will support exchange of knowledge and raise awareness among stakeholders to reduce fatalities and injuries from road accidents. This will help the country adopt interventions based on the Safe-System Approach, including safe roads and safe behaviors, as recommended globally. Since 2011, under BRAC’s community road safety awareness program, over 1.2 million people have received training on the safe use of roads. In addition, 5,451 schoolteachers and 498,000 school children have received special awareness training on road safety.Asif Saleh, Executive Director of BRAC, said on the occasion, “I believe this joint initiative between BRAC and the World Bank will be a big step forward to take the road safety system in the project area to a new level. With the support of the government of Bangladesh and the World Bank, we aspire to take BRAC's community led road safety model across Bangladesh.”He said the government, development partners, non-government organizations and most importantly the citizens need to work together like this in finding more comprehensive long term systemic solutions to achieve the Sustainable Development Goal of reducing traffic fatalities by 50 percent.Ahmed Najmul Hussain, director of BRAC Road Safety Programme, said, “I believe that undertaking more such community-driven awareness initiatives for the other highways of the country such as the one to be implemented under this MoU along the Jessore-Jhenaidah highway will substantially help reduce the number of road crashes.”"
64,3 killed in Gopalganj road accidents,"The deceased were identified as private car driver Shahin Molla, 32, hailed from Atalia village under Bhanga upazila of Faridpur district, and Khushi Begum, 50, of Muksudpur upazila in Gopalganj, and Tasfia Khanam, 3,Officer in-Charge (OC) of Kashiani Police Station Md Azizur Rahman said that a private car hit hard a roadside tree on the Dhaka-Khulna highway near Dhusar Bridge under Kashiani upazila at about 7:00 am on Friday, leaving three people injured including Shahin.The people were rushed to Kashiani Upazila Health Complex where the on-duty doctors declared Shahin dead.The body was handed over to the family, OC added.Two other injured --Nandan and Kartik-- were shifted to Gopalganj 250-bed General Hospital as they are condition were not better. Meanwhile, Khusi Begum was run over by a microbus at College More area in Muksudpur upazila on Thursday night, leaving her critically injured, said Muksudpur Police Station officer in-charge (OC) Md Abu Bakar Mia.She was taken to Muksudpur Upazila Health Complex where the on-duty doctors declared her dead.Gopinathpur police investigation centre inspector Abu Naeem said a pickup van crashed into a roadside house at Gopinathpur area in Sadar upazila on Friday afternoon after its driver lost control over the steering, leaving Tasfia dead on the spot and his brother Rabbi Sikder, 6, injured."
65,4 Bangladeshis killed in road accident in Bahrain,"The accident took place on Monday (October 19) at around 2.30 pm local time.Three of the dead have been identified. They are Mohammad Elahi of Cumilla Sadar, Ramzan of Jhalokati in Barishal and Chan Mia of Modhupur in Tangail.Besides, two brothers Shahidul Islam and Enayet from Comilla district have been admitted to the local BDF hospital in critical condition.According to media sources, the victims worked for the same company. They lived in the capital Manama. On the day of the incident, while returning home from work, the driver of the private car lost control and went to the side of the road. Another car hit the car carrying them from behind. The two cars got destroyed in the collision. Four people died on the spot. Two of their companions were injured.The bodies of the deceased have been kept at the local Salmaniya Medical Complex.SAQ"
66,"Army men’s wife, sister killed in road accident","The deceased were identified as Masfua Begum, 20, of Hatnabad area in Rajshahi, and her sister-in-law Khatun, 15.The injured were identified as Rajab Ali, 29, son of Altaf Hossain of Charbasudebpur village in Chapainawabganj.Shibganj Police Station OC Shamsul Alam Shah said four members of and army officer’s family were going to Sonamasjid on a motorcycle from home. While overtaking a truck heading towards Sonamasjid near the toll plaza on the regional road, he saw a truck coming from the opposite direction and fell while trying to control the speed, killing his wife Masfua and sister-in-law Khatun."
67,Two killed in Thakurgaon road accident,"The deceased were identified as Md Siddik, and Sumon Ali.The accident took place around 9:30am as their motorcycle hit a roadside tree in Patiadangi road intersection, leaving one dead on the spot and another critically injured, said Chitto Ranjan Roy, officer-in-charge of Ruhia Police Station.The injured was rushed to the Sadar Hospital where doctors declared him dead."
68,3 killed in Brahmanbaria  road accident,The identities of the deceased could not be known immediately. Officer-in-Charge (OC) of Khatihata Highway Police Station Mahabubur Rahman said the accident occurred on the Dhaka-Sylhet Highway when the Sylhet-bound bus of Diganta Paribahan coming from Dhaka lost control when it tried to avoid collision with a motorbike and fell into a roadside ditch.Three people died on the spot. The injured were sent to Madhabpur Upazila Health Complex in Habiganj district.
69,Two brothers killed in road accident,"The accident took place at 11 am on the Jashore -Benapole highway at the Navaran Colony junction.The deceased were identified as Bipul Hossain, 20, son of Lokman Hossain of Goyra village in Benapole and Murad Hossain, 23, son of Rezaul Islam of Putkhali village  in Benapole Port Police station. They both worked as WiFi cable operators and both of them lived in the house of their Grandfather's house in KazirBer village of Navaron Bazar. According to the police and the victim's family, Bipul and Murad were returning home from Jhikargachha Upazila after completing the WiFi cable work with a rented motorcycle at the Navaron Colony a Dhaka-bound passenger bus coming from the opposite direction crushed them. They died on the spot. The motorcyclist was seriously injured in the incident and was admitted to Jashore General Hospital.Navaran Highway Police Station SI Tito Debnath said that Bipul and Murad were returning home from Jhikargachha with a motorcycle after completing the WiFi cable work. When they reached at the Navaron Colony They were hit by a Dhaka-bound passenger bus at the Navaron Colony and were crushed to death on the spot.A case has been registered  with Sharsha police station."
70,2 killed in Cumilla road accident,Officer-in-Charge (OC) of Mainamati Crossing Highway Police Station said identities of the deceased and injured could not be known immediately. The OC said a Dhaka-bound microbus coming from the opposite direction collided head-on with a Star Line transport bus bound to Feni around 9:30 am in Korpai area of Burichang upazila.Driver of the microbus and a female passenger died on the spot while five other injured passengers of the microbus were taken to Cumilla Medical College Hospital. Transport movement on a lane of the highway has been suspended for an hour following the road accident. Fire brigade and highway police jointly conducted the rescue operation.
71,2 killed in Cumilla road accident,Officer-in-Charge (OC) of Mainamati Crossing Highway Police Station said identities of the deceased and injured could not be known immediately. The OC said a Dhaka-bound microbus coming from the opposite direction collided head-on with a Star Line transport bus bound to Feni around 9:30 am in Korpai area of Burichang upazila.Driver of the microbus and a female passenger died on the spot while five other injured passengers of the microbus were taken to Cumilla Medical College Hospital. Transport movement on a lane of the highway has been suspended for an hour following the road accident. Fire brigade and highway police jointly conducted the rescue operation.
72,Engineer of Bangladeshi descent killed in New York road accident,"Sayem was killed on the spot when he was hit by a private car while crossing the road at 41 Exit of the Long Island Expressway at 9pm local time on Monday (September 26).Sayem Shahriar, a member of Bangladesh Student Association of New York, has his ancestral home in Noakhali.The deceased were identified as Sayem's father Iqbal Islam and mother Kumu Islam. They lived with their family in Ronkonkoma, Long Island, New York. Born in the United States, Sayem is the only son of his parents. He has one younger sister.Various organizations of Bangladeshis including Bangladesh Society, Bangladesh Student Association of New York have expressed their condolences over the untimely death of Sayem Shahriar.Syed Mostafa Al Amin Russell, chief adviser of the Bangladesh Student Association of New York, said the janaza of Sayem will be held at the Ronkonkoma Selden Jame Mosque on Long Island after Jumma on October 2. He will be buried in Long Island Washington Memorial Park on the same day.SAQ"
73,Two motorcycle riders killed in Bhola road accident,"The deceased were identified as – Kolpo Chandra Dey, 25, son of Lokesh Chandra of Aralia village in Tajumuddin upazila of Bhola and Bappi Anik, 24, from Vandaria thana of Pirojpur.Officer-in-Charge (OC) of Bhola Sadar Model Police Station Md Enayet Hossain said two friends were travelling to Bhola city from Ilishaghat on a motorcycle in the afternoon. When they reached the Bapta polling  station area, their motorcycle rammed into a truck coming from the opposite direction, he said.The accident left the duo seriously injured, the police official said.Hearing screams, locals rushed to the spot, rescued them and took them to Bhola Sadar Hospital, he added.The duty doctor then sent them to Barishal Sher-e-Bangla Medical College Hospital for advanced treatment while they succumbed to their injuries there at night, the OC went on saying.He also said, the truck was seized from the spot but the truck driver managed to escape."
74,RMG worker killed in Dhamrai road accident,"Marfat Ali, sub-inspector of Savar highway police station, confirmed the matter. The deceased was identified as Farida Begum, 40, wife of Anowar Hossain, hailing from Maricbuniya village under Khamerhat police station of Patuakhali district.She used to works at 'Snowtex  outerwear Ltd', a readymade garment factory in Dhamrai, and lived in a rented house at Nayarhat area of Ashulia. On other hand the detainee identified as Ripon, 22, of Manikganj district.    Marfat Ali said, the incident took place around 8:00 am at Dhulivita area in Dhamrai on Wednesday morning.A Manikganj bound speedy track (Dhaka metro-Ta-11-0967) hit the woman, while she crossing the road on foot, leave her critically injured. Later, the duty doctor of Enam medical college and hispital declared her died, after taken her to the hospital.""However, we already detained the accused driver and seized the deadly vehicle and to filed a case in this regard is underway"", SI added.     "
75,Retired policeman killed in Rangpur road accident,"“The deceased was identified as a retired member of police Md. Sultan Miah, 70, of Najirerhat area in the metropolis,” Office-in-Charge (OC) of Hajirhat police station Md. Mostafizur Rahman said.The accident occurred when a speedy truck hit Sultan Miah at the point while he was going to Najirerhat Bazar from his nearby house killing him on the spot at 8:15 am.“Being informed, police rushed to the spot, recovered the body and seized the killer truck from a nearby area,” the OC said, adding that driver and helper of the vehicle fled from the scene.A case was filed in this connection with Hajirhat police station."
76,Two killed in road accident at Noakhali,"The accident took place around 10:15 pm on Thursday (September 10).The deceased were identified as Mohiuddin, 40, son of late Salauddin of Newazpur union in Noakhali Sadar upazila and Kamal Uddin, 45, son of Mohammad Ali of the same union.According to police and locals, a Sugandha Paribahan bus was going from Sonapur to Feni around 10:15 pm. At that time, a CNG-powered autorickshaw was filling up with gas from Begumganj CNG filling station from the opposite direction when the bus crashed into it. Mohiuddin, a CNG driver, was killed on the spot.Kamal succumbed to his injuries after being taken to Noakhali General Hospital.Officer-in-charge (OC) of Begumganj Model Police Station Harun Ur Rashid said, “The body of the deceased has been recovered and two vehicles have been seized. One of the injured is in critical condition. Necessary action will be taken in the incident.”SAQ/"
77,"Youth killed, 13 injured in Savar road accidents","The deceased was identified as Md. Riad, 24, son of Mahbub Islam of Sengabchar village of Matlab in Chandpur. Abdullahel Baki, OC of Savar highway police station, said that the motorcycle accident took place around 6:00 am at Razfulbaria area on Dhaka-Aricha highway. Riyad was going towards Baipail area from capital’s Gabtoli. The motorcycle collided with a speedy covered van, leaving motorcycle driver and passenger, critically injured. Riyad died on the way to hospital.  On other hand, a worker bus turned into a ditch after blast a wheel and 12 passenger of the bus were injured in this incident. Jahangir Alam, Senior station officer of DEPZ fire service confirmed the matter to the Bangladesh Post. The fire official said, the incident took place Goailbari Bazar area around 8:00am on Tuesday morning. The bus was going towards to ‘Spinning trade Ltd, a readymade garment factory of Tenguri area of Ashulia, from Paragram area in Ashulia, with some workers, and suddenly the bus turned into a ditch next to road after blast a front side wheel, and leave 12 injured. Later, locals came forward, rescued and sent the injured people to the nearest hospital. “However, no death reported in this incident”, he added."
78,"UZ chairman, 5 others killed in road accidents","The deceased were identified as Bagherpara upazila chairman Nazmul Islam Kazol, his private assistant Ariful Islam, a resident of Karimpur village in Bagherpara upazila, Akhi Akter, 22, daughter of Sumon Miah of Taltola area in Dhaka and another dead was unidentified.  Police and locals sources said, Bagherpara upazila chairman Nazmul Islam Kazol’s private car (Pajero Jeep) head on collided with a truck at Nayapara area in Madhabpur upazila of Habiganj at about 4:00 pm on Monday. four persons including upazila chairman died in the incident. Another accident took place at Kestopur area in Bagherpara upazila of Jashore and two motorcycle riders were killed on the sameday. The deceased were indentified as Shamim Hossain, 28, son of Akter  Hossain resident of Bejpara area and Shaon Hossain, 26, son of Ramjan Ali resident of Barandipara-Mollapara area in Jashore town.Khajura Police camp Sub-Inspector Jumman said, Shamim Hossain and Shaon Hossain were going  to Magura from Jashore riding a Motorcycle on Monday afternoon at 4:30 pm.When they reached at Kestopur area in Bagherpara upazila the Motorcycle collided with a Truck. Motorcycle riders Shamim and Shaon dead in the incident spot.Truck driver and helper were injured.Separate cases were filed with respectively thanas in these connections."
79,School teacher killed in road accident in Kishoreganj,"The deceased was identified as Maleka Akhter, an assistant teacher at Nayapara Abdul Salam Munshi Government Primary School in Karimganj upazila. She separated from her husband.Police said Maleka Akhter (45) was returning home from Kishoreganj in a CNG-powered autorickshaw at Nayapara village in Karimganj upazila.Shortly after dusk, CNG collided head-on with a reckless speeding tomtom coming from the opposite direction near Shimultala market. Maleka was seriously injured.Later, she was taken to Karimganj Upazila Health Complex in critical condition and died at around 8 pm. Upon receiving the news, her classmates and relatives rushed to the hospital. The surrounding environment became heavy with their mourning.Police impounded the CNG and Tomtom after the incident. However, the two drivers escaped. Karimganj police chief Mominul Islam said legal action was being taken in the incident. And she has an adopted daughter named Rafi.However, after her death, a man named Abu Faruk claimed that he had secretly married Maleka Akhtar a few years ago.SAQ/"
80,Trader killed in Kishoreganj road accident ,"A young man named Didar (20) was killed when a motorbike collided with a bus on Kishoreganj-Bhairab Highway. He was the son of late Israel Miah of Hapania area of Pakundia upazila.Ahutia police outpost-in-charge Shafiqul Islam said the incident took place around 7:30 pm on Friday (04 September) in an area called Poolerghat. The deceased was identified as Didar, a trader of Pakundia Bazar.He said that in the evening, a bus of Ujanbhati Paribahan from Dhaka to Kishoreganj was heading towards Katiadi from Kishoreganj when it hit the motorcycle carrying Didar in front of the Baishakhi filling station. He died on the spot."
81,Woman killed in Netrakona road accident,"The accident took place at Ramnagar area aunder Ashujia union at Rampur-Bhaikharhati road of kendua upazila in Netrokona.The deceased was identified as Jubeda Khatun, wife of late Hossain Ali of Hasuari village under the same union.Officer-in-Charge of Kendua Police Station Mohammad Rasheduzzaman confirmed the incident. He said that an easy bike has been seized and an inquest report has been prepared.An unnatural death case was filed with the police station."
82,2 killed in Sylhet road accident,"The deceased were identified as Bibijan, 65, and her grandnephew Rahat, 7, of Dawdpur village under Dakshin Surma upazila of the district.Police said the accident occurred when a Kulaura-bound passengers bus hit them in the area as they were crossing the road, leaving them dead on the spot.“The bodies were handed over to their family members after post-mortem at the morgue of Sylhet Osmani Medical College,” said Chahabul Islam, officer-in-charge (OC) of Muglabazar Police Station, adding that a case was filed in this connection."
83,SSC examinee killed in Jashore road accident,"The deceased was indentified as Mamun Hossain, 17, a SSC examinee and son of Mizanur Rahman resident of Purundarpur area in Jhikorgacha municipal town.Police and Locals sources said, Mamun and his friend Indra came back to Jhikorgacha from Navaron-Benapole area riding a Motorcycle on Monday night.When they reached at Jhikorgacha-Beneali area,the Motorcycle collided with a Truck. Mamun dead in the incident spot and Indra was injured.Officer-in-charge (OC) of Jhikorgacha thana Abdur Razzak said police try to detain truck driver.A case was filed in this connection."
84,2 killed in Dhamrai road accident,"The deceased were identified as Helal Uddin, a vegetable trader, son of Md Noimuddin at Borundi area of Saturia in Manikganj, and Mafidul Mollah Razu, 30, a pick-up van driver, son of Moshiur Rahman Mollah at Lahuria area of Lohagora in Narail. Police said that the incident took place around 9:00am. The vegetable-laden pickup van was going towards Ashulia from Manikganj. A speedy covered van of Janani Express and parcel service (Dhaka metro-Na-13-9559) hit the pickup from behind when another unidentified covered van brakes suddenly in front of the pickup van, leaving three people critically injured. They were taken to hospital. The pn duty doctors of Dhamrai Upazila Health Complex declared two of them dead. Moslem Uddin, Sub-inspector of Savar highway police station said, “We have seized two accidental vehicles but the accused driver and helper of the covered van managed to flee. To take further legal action in this regard are underway.”"
85,4 killed in Kurigram road accident,"The deceased were identified as Mujibur Rahman, 56, his wife Bilkis Begum, 50, their son Billal Hossain, 26, and the car driver whose name could not be known immediately.OC (Investigation) of Kurigram Sadar police station Anwarul Islam confirmed the matter.The OC said that a BRTC bus collided head-on with a Kurigram-bound private car on the Kurigram-Rangpur Highway in Raipur RDRS Bazar area of Kanthalbari Union at about 7:30 am, leaving the driver of the car dead on the spot and five other passengers of the car injured.The injured were rushed to the Kurigram General Hospital where the on-duty doctors declared Billal Hossain dead. Mujibur Rahman and Bilkis Begum died while undergoing treatment at the hospital, he said.The condition of one of the other two injured was critical and he was suggested to go Rangpur Medical College Hospital for better treatment, Anwarul Islam added."
86,Road accident  kills 2 students  in Jashore,"The deceased were indentified as Kazi Mushfiq Mahbub Priyo, 24, a honours student of Magura Government College and son of Kazi  Mahbubur Haque resident of Circuit house area and Kabbo Das, 22, a honours student of Dhaka Commerce College and son of cultural personality Dilip Das  resident of Mision Para area in Jashore town.Police and Locals sources said, Mushfiq Mahbub Priyo and his friend Kabbo Das were going to Benapole riding a Motorcycle on Tuesday afternoon.When they reached at Jhikorgacha-Beneali area,the Motorcycle collided with a Cavard Van. They dead in the incident spot. Officer-in-charge (OC) of Jhikorgacha thana Abdur Razzak said on information police rescued them and took to Jashore 250-bed general hospital for post mortem examination.A General Diary (GD) was filed in this connection.The Cavard Van driver and helper were fled.Police try to arrest the driver and helper."
87,Farmer killed in Jibannagar road accident,"Farmer Osman Ali, 55, was crushed to death by a speeding passenger bus in front of Hasadah Lima filling station in Jibannagar upazila in Chuadanga. The accident took place around 11:30 am on Monday.When the angry locals blocked the highway on the news of the accident, many vehicles got stuck on both sides of the road.1 hour after receiving the news, Jibonnagar police reached the spot and the situation came under control and the traffic became normal. According to eyewitnesses, Osman Ali, a farmer from Adarshapara in Hasadah village, was sitting on the side of the road around his house around 11:30 am on Monday. Osman Ali was hit by an uncontrolled bus and died on the spot.Jibannagar police officer in charge (OC) said Md Saiful Islam has confirmed the truth of the incident."
88,Deaths from road accidents continue  ,"On Friday, we saw the tragic death of Reshma Nahar Ratna, a school-teacher and an aspiring mountaineer, who was run over and crushed under the wheels of a microbus as she was cycling on the streets of Dhaka. Reckless driving was possibly the reason behind this tragedy. If we scrutinize the way road accidents are taking place in Bangladesh, we can say that most of the road safety measures taken over the last few years have gone in vein. Every time the gravity of road safety issues gets intensified when any student dies of road accident. After every incident of road crash we hear pledges from the BRTA, police, and other transport authorities. But all fade away with the passage of time, which is why the procession of deaths on the roads never stops.Unfit vehicles should not be allowed on the roads and campaigns must be conducted to raise awareness of traffic rules.Transportation experts blame unfit vehicles, unskilled drivers and reckless driving as the core reasons behind the staggering number of road accidents. Many bus owners recruit drivers considering personal relationship and recommendations of known people without properly examining their driving skill. What is more saddening is that a number of unscrupulous BRTA officials provide licence to the unskilled drivers and fitness certificates to the unfit vehicles without any test. As a result, a large number of unskilled drivers get chance to ply their vehicles on roads illegally. When the authorities concerned cannot maintain integrity in terms of giving certificates to drivers and vehicles, it is not pragmatic indeed to expect those drivers who buy licence through unfair means will maintain discipline on the roads. Too many lives are being lost on our roads every day, and it’s time the government put all-out efforts to bring some order to the road. It is high time that Bangladesh took stern actions against reckless driving. Also, in order to ensure road safety for all, the design and quality of the roads and highways must be improved; unfit vehicles should not be allowed on the roads and campaigns must be conducted to raise awareness of traffic rules."
89,Man killed in road accident in Morelganj,"The deceased has been identified as Mannan Khan (50), a pan seller by profession. He is a resident of Dhansagar village in the adjoining Sharankhola upazila.Morelganj Police Station OC (Investigation) Thakur Das Mandal said a speeding microbus lost control in front of the market at Tuesday night and crushed Mannan. He was seriously injured. When the locals rescued him and took him to Morelganj Upazila Health Complex, the on-duty doctor declared him dead.BS/"
