,Newspaper Name,Accident date,Header,News title,Deaths,Injured
277,Dhaka Tribune,Oct 5 2019,"4 killed in road accidents in Jessore, Dinajpur and Nilphamari","4 killed in road accidents in Jessore,...",4,0
278,Dhaka Tribune,Oct 4 2019,Eight killed in road accidents,Eight killed in road accidents,8,0
279,Dhaka Tribune,Oct 3 2019,RAB official killed in Dhaka road accident,RAB official killed in Dhaka road...,1,0
280,Dhaka Tribune,Oct 2 2019,Fire service officer killed in road accident,Fire service officer killed in road...,1,0
281,Dhaka Tribune,Oct 2 2019,"1 killed, at least 60 injured in road accidents in 2 districts","1 killed, at least 60 injured in road...",1,60
283,Dhaka Tribune,Sep 29 2019,Five killed in road accidents,Five killed in road accidents,5,0
284,Dhaka Tribune,Sep 28 2019,"2 killed in road accidents in Rangpur, Feni","2 killed in road accidents in Rangpur,...",2,0
285,Dhaka Tribune,Sep 27 2019,1 killed in Dhaka road accident,1 killed in Dhaka road accident,1,0
286,Dhaka Tribune,Sep 24 2019,"Reckless bus kills man, child in Jessore","Reckless bus kills man, child in...",2,0
287,Dhaka Tribune,Sep 23 2019,3 killed in Sherpur road accident,3 killed in Sherpur road accident,3,0
288,Dhaka Tribune,Sep 21 2019,4 Chinese tourists killed as bus crashes in Utah,4 Chinese tourists killed as bus crashes...,4,0
289,Dhaka Tribune,Sep 20 2019,2 Bangladeshi siblings killed in Mozambique road accident,2 Bangladeshi siblings killed in Mozambique...,2,0
290,Dhaka Tribune,Sep 17 2019,Road accidents kill 4 in 3 districts,Road accidents kill 4 in 3...,4,0
291,Dhaka Tribune,Sep 16 2019,3 killed in road accidents in 3 districts,3 killed in road accidents in 3...,3,0
292,Dhaka Tribune,Sep 16 2019,11 killed in road crashes,11 killed in road crashes,11,0
293,Dhaka Tribune,Sep 14 2019,2 dead in road accidents in 2 districts,2 dead in road accidents in 2...,2,0
294,Dhaka Tribune,Sep 14 2019,"2 killed, 23 injured in road accidents","2 killed, 23 injured in road...",2,23
295,Dhaka Tribune,Sep 11 2019,5 killed in road accidents in 3 districts,5 killed in road accidents,5,0
296,Dhaka Tribune,Sep 8 2019,"1 killed, another injured in Dhaka road accident","1 killed, another injured in Dhaka road...",1,1
297,Dhaka Tribune,Sep 6 2019,Transport worker killed in Dhaka road accident,Transport worker killed in Dhaka road...,1,0
298,Dhaka Tribune,Sep 5 2019,Eight killed in road accidents,Eight killed in road accidents,8,0
299,Dhaka Tribune,Sep 2 2019,Road accidents kill 8 in 6 districts,Road accidents kill 8 in 6...,8,0
300,Dhaka Tribune,Sep 2 2019,ASI among 3 killed in Comilla road accident,ASI among 3 killed in Comilla road...,3,0
301,Dhaka Tribune,Sep 2 2019,Bangla Motor bus accident: Driver did not have the right license to operate a bus,Bangla Motor bus accident: Driver did...,,0
302,Dhaka Tribune,Sep 1 2019,1 killed in Dhaka road accident,1 killed in Dhaka road accident,1,0
303,Dhaka Tribune,Aug 31 2019,Motorcyclist killed in Malibagh road accident,Motorcyclist killed in Malibagh road...,1,0
304,Dhaka Tribune,Aug 30 2019,4 killed in road accidents,4 killed in road accidents,4,0
305,Dhaka Tribune,Aug 29 2019,2 killed in Ashulia road accident,2 killed in Ashulia road accident,2,0
306,Dhaka Tribune,Aug 29 2019,"‘The thing I feared the most, just happened to me’","‘The thing I feared the most, just happened...",,0
307,Dhaka Tribune,Aug 28 2019,"4 killed in Dinajpur, Jhenaidah road accidents","4 killed in Dinajpur, Jhenaidah road...",4,0
309,Dhaka Tribune,Aug 27 2019,"3 killed in Dhaka, Gazipur road accidents","3 killed in Dhaka, Gazipur road...",3,0
310,Dhaka Tribune,Aug 25 2019,Bus kills policeman in Bandarban,Bus kills policeman in Bandarban,1,0
311,Dhaka Tribune,Aug 25 2019,Bangladeshi youth killed in Macedonia road accident,Bangladeshi youth killed in Macedonia...,1,0
313,Dhaka Tribune,Aug 24 2019,Army sergeant killed in Bogra road accident,Army sergeant killed in Bogra road...,1,0
314,Dhaka Tribune,Aug 24 2019,11 killed in Faridpur road accidents,11 killed in Faridpur road...,11,0
315,Dhaka Tribune,Aug 23 2019,2 die in separate road accidents in Dhaka,2 die in separate road accidents in...,2,0
317,Dhaka Tribune,Aug 22 2019,"3 killed, 15 injured in Thakurgaon road accident","3 killed, 15 injured in Thakurgaon road...",3,15
318,Dhaka Tribune,Aug 22 2019,1 killed in Habiganj road accident,1 killed in Habiganj road accident,1,0
319,Dhaka Tribune,Aug 21 2019,Child killed in Kurigram road accident,Child killed in Kurigram road...,1,0
320,Dhaka Tribune,Aug 20 2019,2 killed in Comilla road accident,2 killed in Comilla road accident,2,0
323,Dhaka Tribune,Aug 18 2019,15 killed in road accidents across Bangladesh,15 killed in road accidents across...,15,0
324,Dhaka Tribune,Aug 17 2019,4 killed in Narsingdi road accident,4 killed in Narsingdi road,4,0
325,Dhaka Tribune,Aug 16 2019,4 of a family killed in Mymensingh road accident,4 of a family killed in Mymensingh road...,4,0
326,Dhaka Tribune,Aug 16 2019,Schoolboy killed in Rajbari road accident,Schoolboy killed in Rajbari road...,1,0
327,Dhaka Tribune,Aug 15 2019,19 killed in road accidents,19 killed in road accidents,19,0
328,Dhaka Tribune,Aug 14 2019,8 killed in road accidents in 5 districts,8 killed in road accidents in 5...,8,0
329,Dhaka Tribune,Aug 11 2019,Journo among 4 killed in road accidents in 3 districts,Journo among 4 killed in road accidents...,4,0
330,Dhaka Tribune,Aug 8 2019,Bus kills 2 motorcyclists on Sirajganj highway,Bus kills 2 motorcyclists on Sirajganj...,2,0
331,Dhaka Tribune,Aug 7 2019,2 killed in Habiganj road accident,2 killed in Habiganj road accident,2,0
332,Dhaka Tribune,Aug 4 2019,Thakurgaon road accident: Death toll rises to 12,Thakurgaon road accident: Death toll...,12,0
333,Dhaka Tribune,Aug 1 2019,Man run over by truck in Dhaka,Man run over by truck in Dhaka,1,0
334,Dhaka Tribune,Jul 31 2019,3 cattle traders killed in Comilla road accident,3 cattle traders killed in Comilla road...,3,0
335,Dhaka Tribune,Jul 30 2019,"2 madrasa students killed, 9 injured in Barisal road accident","2 madrasa students killed, 9 injured...",2,9
337,Dhaka Tribune,Jul 29 2019,6 killed in Gopalganj road crash,6 killed in Gopalganj road crash,6,0
342,Dhaka Tribune,Jul 28 2019,4 killed in Noakhali road accident,4 killed in Noakhali road accident,4,0
343,Dhaka Tribune,Jul 27 2019,5 killed in road accidents in 2 districts,5 killed in road accidents in 2...,7,0
344,Dhaka Tribune,Jul 25 2019,Man dies in Bogra road accident,Man dies in Bogra road accident,1,0
345,Dhaka Tribune,Jul 24 2019,Microbus-train collision injures 2,Microbus-train collision injures 2,0,2
346,Dhaka Tribune,Jul 24 2019,3 killed in Narayanganj road accident,3 killed in Narayanganj road...,3,0
347,Dhaka Tribune,Jul 23 2019,Traffic sergeant killed in accident: Writ seeks Tk10cr compensation,Traffic sergeant killed in accident:...,1,0
348,Dhaka Tribune,Jul 20 2019,"3 killed in Faridpur, Bogra road accidents","3 killed in Faridpur, Bogra road...",3,0
349,Dhaka Tribune,Jul 19 2019,"3 killed in Tangail, B’baria road accidents","3 killed in Tangail, B’baria road...",3,0
351,Dhaka Tribune,Jul 16 2019,Train-microbus collision: Death toll rises to 11,Train-microbus collision: Death toll...,11,0
352,Dhaka Tribune,Jul 15 2019,7 killed in road accidents in three districts,7 killed in road accidents in three...,7,0
353,Dhaka Tribune,Jul 13 2019,1 killed in Thakurgaon road accident,1 killed in Thakurgaon road...,1,0
354,Dhaka Tribune,Jul 13 2019,"3 killed in Gaibandha, Bogra road accidents","3 killed in Gaibandha, Bogra road...",3,0
355,Dhaka Tribune,Jul 11 2019,Road accidents kill 9 across country,Road accidents kill 9 across...,9,0
356,Dhaka Tribune,Jul 8 2019,Probe report in case over Rajib’s death due on Aug 22,Probe report in case over Rajib’s death...,1,0
357,Dhaka Tribune,Jul 8 2019,1 killed in Narayanganj road accident,1 killed in Narayanganj road...,1,0
358,Dhaka Tribune,Jul 8 2019,2 killed as train hits truck in Gazipur,2 killed as train hits truck in...,2,0
359,Dhaka Tribune,Jul 7 2019,Traffic police killed in Dhaka road accident,Traffic police killed in Dhaka road...,1,0
360,Dhaka Tribune,Jul 6 2019,Road accidents kill 3 in two districts,Road accidents kill 3 in two...,3,0
361,Dhaka Tribune,Jul 6 2019,Six killed in road accidents,Six killed in road accidents,6,0
363,Dhaka Tribune,Jul 5 2019,7 killed in road crashes across country,7 killed in road crashes across...,7,0
364,Dhaka Tribune,Jul 2 2019,Teenager killed in Dinajpur road accident,Teenager killed in Dinajpur road...,1,0
365,Dhaka Tribune,Jul 2 2019,13 killed in road accidents in 9 districts,13 killed in road accidents in 9...,13,0
366,Dhaka Tribune,Jul 1 2019,Mymensingh road accident kills 3,Mymensingh road accident kills 3,3,0
367,Dhaka Tribune,Jul 1 2019,11 killed in road accidents in 6 districts,11 killed in road accidents in 6...,11,0
368,Dhaka Tribune,Jun 29 2019,Rangpur road accident kills 3,Rangpur road accident kills 3,3,0
369,Dhaka Tribune,Jun 29 2019,9 killed in road crashes in 4 districts,9 killed in road crashes in 4...,9,0
370,Dhaka Tribune,Jun 28 2019,"1 killed, 3 injured in Brahmanbaria road accident","1 killed, 3 injured in Brahmanbaria...",1,0
371,Dhaka Tribune,Jun 26 2019,2 killed in Lamonirhat road accident,2 killed in Lamonirhat road...,2,0
372,Dhaka Tribune,Jun 26 2019,6 killed in road accidents in 3 districts,6 killed in road accidents in 3...,6,0
374,Dhaka Tribune,Jun 25 2019,Five killed in road accidents in 4 districts,Five killed in road accidents in 4...,5,0
375,Dhaka Tribune,Jun 25 2019,11 killed in road accidents in 6 districts,11 killed in road accidents in 6...,11,0
376,Dhaka Tribune,Jun 21 2019,Natore road accident kills 3,Natore road accident kills 3,3,0
380,Dhaka Tribune,Jun 16 2019,Rickshaw puller killed in Tejgaon road crash,Rickshaw puller killed in Tejgaon road...,1,0
381,Dhaka Tribune,Jun 14 2019,"1 killed, 32 injured in road accidents in 2 districts","1 killed, 32 injured in road accidents...",1,32
382,Dhaka Tribune,Jun 14 2019,1 killed in Dhaka road accident,1 killed in Dhaka road accident,1,0
385,Dhaka Tribune,Jun 12 2019,1 killed in Dhaka road accident,9 killed and 15 injured in road...,1,0
386,Dhaka Tribune,Jun 12 2019,3 motorcyclists killed in Naogaon road accident,3 motorcyclists killed in Naogaon road...,3,0
388,Dhaka Tribune,Jun 10 2019,Woman run over by bus in Jatrabari,Woman run over by bus in Jatrabari,1,0
389,Dhaka Tribune,Jun 8 2019,Road accidents claim 6 lives in 5 districts,Road accidents claim 6 lives in 5...,6,0
390,Dhaka Tribune,Jun 6 2019,"4 killed, 20 injured in Faridpur road accident","4 killed, 20 injured in Faridpur road...",4,0
391,Dhaka Tribune,Jun 5 2019,Bogra-Nagarbari highway sees 13 deaths in 48 hours,Bogra-Nagarbari highway sees 13 deaths...,13,0
393,Dhaka Tribune,Jun 3 2019,Road accidents kill 19 in 6 districts,Road accidents kill 19 in 6...,19,0
394,Dhaka Tribune,Jun 2 2019,8 killed in Sirajganj road accident,8 killed in Sirajganj road,8,0
395,Dhaka Tribune,Jun 2 2019,6 killed in Sunamganj road accident,6 killed in Sunamganj road,6,0
396,Dhaka Tribune,Jun 2 2019,Mother of two killed in Dhaka road accident,Mother of two killed in Dhaka road...,2,0
397,Dhaka Tribune,Jun 1 2019,7 killed in road accidents in 5 districts,7 killed in road accidents in 5...,7,0
398,Dhaka Tribune,Jun 1 2019,Teacher recruitment examinee killed in Rajbari road accident,Teacher recruitment examinee killed...,1,0
399,Dhaka Tribune,May 31 2019,Teenage girl run over by bus in Dhaka,Teenage girl run over by bus in...,,0
400,Dhaka Tribune,May 30 2019,3 killed in Chandpur road accidents,3 killed in Chandpur road,1,0
401,Dhaka Tribune,May 29 2019,BPM awarded Constable Parvez loses leg in road accident,BPM awarded Constable Parvez loses leg...,0,1
402,Dhaka Tribune,May 29 2019,4 killed in crashes in 2 districts,4 killed in crashes in 2 districts,4,0
403,Dhaka Tribune,May 27 2019,Six killed in separate road accidents,Six killed in separate road...,6,0
404,Dhaka Tribune,May 25 2019,Woman killed in Manikganj road accident,Woman killed in Manikganj road...,1,0
405,Dhaka Tribune,May 25 2019,One killed in road accident in Pabna,One killed in road accident in...,1,0
407,Dhaka Tribune,May 24 2019,Death of Rajib: Court orders probe report on July 8,Death of Rajib: Court orders probe report...,1,0
408,Dhaka Tribune,May 22 2019,2 killed in Narsingdi road accident,2 killed in Narsingdi road,2,0
409,Dhaka Tribune,May 22 2019,8 killed in road crashes across the country,8 killed in road crashes across the...,8,0
410,Dhaka Tribune,May 18 2019,6 killed in Bagerhat road accident,6 killed in Bagerhat road accident,6,0
411,Dhaka Tribune,May 18 2019,"Chapainawabganj road accident kills 3, injures 8",Chapainawabganj road accident kills...,3,8
412,Dhaka Tribune,May 15 2019,Man killed in Jatrabari road accident,Man killed in Jatrabari road...,1,0
414,Dhaka Tribune,May 11 2019,"2 killed in Magura, Savar road accidents","2 killed in Magura, Savar road...",2,0
415,Dhaka Tribune,May 11 2019,"2 killed in road accidents in Kushtia, Tangail","2 killed in road accidents in Kushtia,...",2,0
416,Dhaka Tribune,May 10 2019,11 killed in road accidents in 5 districts,11 killed in road accidents in 5...,11,0
417,Dhaka Tribune,May 8 2019,"3 killed, 15 injured in Noakhali road accident","3 killed, 15 injured in Noakhali road...",3,0
418,Dhaka Tribune,May 8 2019,Road crash kills Grameen Bank official in Dhaka,Road crash kills Grameen Bank official...,1,0
419,Dhaka Tribune,May 5 2019,Seven killed in road accidents in four districts,Seven killed in road accidents in four...,7,0
420,Dhaka Tribune,May 5 2019,2 workers killed as truck overturns in Comilla,2 workers killed as truck overturns...,2,0
421,Dhaka Tribune,May 5 2019,3 killed in Bhola road accident,3 killed in Bhola road accident,3,0
422,Dhaka Tribune,May 5 2019,"6 people killed in road accidents in Dhamrai, Rajbari",6 people killed in road accidents in...,6,0
424,Dhaka Tribune,May 2 2019,9 killed in road accidents in 5 districts,9 killed in road accidents in 5...,9,0
425,Dhaka Tribune,May 2 2019,Road accidents kill 7 in 5 districts,Road accidents kill 7 in 5...,7,0
426,Dhaka Tribune,Apr 29 2019,Driver arrested over Brac University student’s death,Driver arrested over Brac University...,1,0
427,Dhaka Tribune,Apr 28 2019,5 dead in Chandpur road accident,5 dead in Chandpur road accident,5,0
428,Dhaka Tribune,Apr 28 2019,Fireman dies in Naogaon road accident,Fireman dies in Naogaon road...,1,0
431,Dhaka Tribune,Apr 26 2019,4 killed as jeep ploughs into house in Chittagong,4 killed as jeep ploughs into house...,4,0
432,Dhaka Tribune,Apr 25 2019,2 killed in Dhaka road accident,2 killed in Dhaka road accident,2,0
433,Dhaka Tribune,Apr 23 2019,Five killed in road accidents across country,Five killed in road accidents across...,5,0
434,Dhaka Tribune,Apr 21 2019,2 killed in separate Kushtia road accidents,2 killed in separate Kushtia road...,2,0
435,Dhaka Tribune,Apr 20 2019,Child killed in Brahmanbaria road accident,Child killed in Brahmanbaria road...,1,0
436,Dhaka Tribune,Apr 19 2019,Rasel gets prosthetic leg,Rasel gets prosthetic leg,0,1
437,Dhaka Tribune,Apr 18 2019,"Father, daughter among 3 killed in Dinajpur road accident","Father, daughter among 3 killed in Dinajpur...",3,0
438,Dhaka Tribune,Apr 18 2019,29 German tourists die in bus crash,29 German tourists die in bus,29,0
439,Dhaka Tribune,Apr 18 2019,5 killed in separate road accidents,5 killed in separate road,5,0
440,Dhaka Tribune,Apr 16 2019,3 killed in different districts,3 killed in different districts,3,0
441,Dhaka Tribune,Apr 14 2019,"Maitree Express hits pick-up in Sirajganj, 3 killed","Maitree Express hits pick-up in Sirajganj,...",3,0
443,Dhaka Tribune,Apr 13 2019,Businessman dies in Jhenaidah road accident,Businessman dies in Jhenaidah road...,1,0
444,Dhaka Tribune,Apr 13 2019,"8 dead, 30 injured in Joypurhat road accident","8 dead, 30 injured in Joypurhat road...",8,30
447,Dhaka Tribune,Apr 8 2019,1 killed after bus rams rickshaw in Gulistan,1 killed after bus rams rickshaw in...,1,0
448,Dhaka Tribune,Apr 7 2019,5 killed as bus overturns in Gaibandha,5 killed as bus overturns in...,5,0
451,Dhaka Tribune,Apr 2 2019,Road accidents kill 5 in three districts,Road accidents kill 5 in three...,5,0
452,Dhaka Tribune,Mar 31 2019,"Bus hits CNG , primary schoolboy killed","Bus hits CNG , primary schoolboy...",1,0
453,Dhaka Tribune,Mar 30 2019,Singer Khurshid Alam injured in Bogra road crash,Singer Khurshid Alam injured in Bogra...,1,0
454,Dhaka Tribune,Mar 30 2019,7 killed as bus plunges into ditch in Madaripur,7 killed as bus plunges into ditch in...,7,0
455,Dhaka Tribune,Mar 28 2019,"4 killed, 15 injured in separate Jessore road accidents","4 killed, 15 injured in separate Jessore...",4,15
456,Dhaka Tribune,Mar 28 2019,"8 killed, 20 injured as bus, microbus collide in Chittagong","8 killed, 20 injured in Chittagong road...",8,20
457,Dhaka Tribune,Mar 28 2019,College student killed in Lakshmipur road accident,College student killed in Lakshmipur...,1,0
458,Dhaka Tribune,Mar 27 2019,Suprovat bus conductor’s haste for escape took Abrar’s life,Suprovat bus conductor’s haste for escape...,1,0
459,Dhaka Tribune,Mar 27 2019,What was it all for?,What was it all for?,,0
460,Dhaka Tribune,Mar 27 2019,Two schoolgirls killed in road accidents in Comilla,Two schoolgirls killed in road accidents...,2,0
461,Dhaka Tribune,Mar 26 2019,2 schoolgirls killed in Comilla road accidents,2 schoolgirls killed in Comilla road...,2,0
462,Dhaka Tribune,Mar 26 2019,"Truck runs over van, kills driver","Truck runs over van, kills driver",1,0
463,Dhaka Tribune,Mar 25 2019,Student’s death brings Sylhet to a standstill,Student’s death brings Sylhet to a...,1,0
464,Dhaka Tribune,Mar 24 2019,3 killed in road crash,3 killed in road crash,3,0
467,Dhaka Tribune,Mar 22 2019,"Mother, daughter killed in Narayanganj road accident","Mother, daughter killed in Narayanganj...",2,0
468,Dhaka Tribune,Mar 21 2019,Road accidents kill 3 students in three districts,Road accidents kill 3 students in three...,3,0
469,Dhaka Tribune,Mar 21 2019,Suprovat bus driver killed Abrar while fleeing accident spot,Suprovat bus driver killed Abrar while...,1,0
470,Dhaka Tribune,Mar 21 2019,Teacher’s car runs over 2 JnU students,Teacher’s car runs over 2 JnU...,2,0
471,Dhaka Tribune,Mar 20 2019,"Schoolgirl loses leg in Jessore road accident, highway blocked",Schoolgirl loses leg in Jessore road...,0,1
472,Dhaka Tribune,Mar 20 2019,3 motorcyclists killed in Gopalganj road accident,3 motorcyclists killed in Gopalganj...,3,0
473,Dhaka Tribune,Mar 20 2019,Case filed over death of BUP student,Case filed over death of BUP...,1,0
474,Dhaka Tribune,Mar 20 2019,Student’s death on Dhaka street rekindles road safety movement,Student’s death on Dhaka street rekindles...,5,0
475,Dhaka Tribune,Mar 19 2019,Mayor Atiqul: Foot overbridge to be named after killed BUP student,Mayor Atiqul: Foot overbridge to be...,1,0
476,Dhaka Tribune,Mar 19 2019,Two killed in Manikganj road accident,Two killed in Manikganj road...,2,0
477,Dhaka Tribune,Mar 15 2019,3 die in separate Dhaka road accidents,3 die in separate Dhaka road...,3,0
478,Dhaka Tribune,Mar 6 2019,3 killed in road accidents across country,3 killed in road accidents across...,3,0
479,Dhaka Tribune,Mar 4 2019,Road crashes kill 8 in four districts,Road crashes kill 8 in four...,8,0
480,Dhaka Tribune,Feb 27 2019,"10 killed, 26 injured in road crashes in 4 districts","10 killed, 26 injured in road crashes...",10,26
481,Dhaka Tribune,Feb 23 2019,"5 killed, 6 injured in separate road crashes in Tangail","5 killed, 6 injured in separate road...",5,6
482,Dhaka Tribune,Feb 23 2019,5 killed in Kurigram-Rangpur highway accident,5 killed in Kurigram-Rangpur highway...,5,0
483,Dhaka Tribune,Feb 18 2019,Road crashes kill 9 in five districts,Road crashes kill 9 in five...,9,0
484,Dhaka Tribune,Feb 17 2019,"5 killed, 10 injured in Comilla road accident","5 killed, 10 injured in Comilla road...",5,10
485,Dhaka Tribune,Feb 17 2019,Five killed in separate accidents in Dhaka,Five killed in separate accidents in...,5,0
486,Dhaka Tribune,Feb 14 2019,2 killed in Rajbari road accident,2 killed in Rajbari road accident,2,0
487,Dhaka Tribune,Feb 14 2019,3 die as microbus catches fire on Chittagong highway,3 die as microbus catches fire on Chittagong...,3,0
488,Dhaka Tribune,Feb 12 2019,Road crashes kill 13 in four districts,Road crashes kill 13 in four...,13,0
489,Dhaka Tribune,Feb 11 2019,"3 killed, 1 injured in Munshiganj road accident","3 killed, 1 injured in Munshiganj road...",3,1
490,Dhaka Tribune,Feb 11 2019,Schoolgirl killed in Khulna road accident,Schoolgirl killed in Khulna road...,1,0
491,Dhaka Tribune,Feb 11 2019,"Car-truck collision kills 5 BCL, Juba League men in Khulna","Car-truck collision kills 5 BCL, Juba...",5,0
492,Dhaka Tribune,Feb 11 2019,Road crashes kill 11 in four districts,Road crashes kill 11 in four...,11,0
493,Dhaka Tribune,Feb 10 2019,Separate road accidents kill 2 in Tangail,Separate road accidents kill 2 in...,2,0
494,Dhaka Tribune,Feb 9 2019,"1 dead, 2 injured in separate Jessore road accidents","1 dead, 2 injured in separate Jessore...",1,2
495,Dhaka Tribune,Feb 9 2019,Road accidents kill 7 across the country,Road accidents kill 7 across the...,7,0
496,Dhaka Tribune,Feb 7 2019,Milestone school student killed in Uttara road accident,Milestone school student killed in Uttara...,1,0
497,Dhaka Tribune,Feb 5 2019,"2 killed, 20 injured in Gopalganj bus accident","2 killed, 20 injured in Gopalganj bus...",2,20
498,Dhaka Tribune,Feb 5 2019,3 killed in Dhaka road accidents,3 killed in Dhaka road accidents,3,0
499,Dhaka Tribune,Feb 5 2019,15 killed in road crashes across Bangladesh,15 killed in road crashes across...,15,0
500,Dhaka Tribune,Feb 3 2019,"Truck driver, helper killed in Gazipur road accident","Truck driver, helper killed in Gazipur...",2,0
501,Dhaka Tribune,Feb 3 2019,Bus-microbus collision kills 4 in Chittagong,Bus-microbus collision kills 4 in...,4,0
502,Dhaka Tribune,Feb 3 2019,Motorcyclist dead in Rangamati road accident,Motorcyclist dead in Rangamati road...,1,0
503,Dhaka Tribune,Feb 3 2019,Two motorcyclists killed in Thakurgaon road accident,Two motorcyclists killed in Thakurgaon...,2,0
504,Dhaka Tribune,Feb 2 2019,Students block Dhaka-Mawa highway demanding justice for siblings killed in road accident,Students block Dhaka-Mawa highway demanding...,2,0
505,Dhaka Tribune,Jan 31 2019,3 of a family killed in Mymensingh road accident,3 of a family killed in Mymensingh road...,3,0
506,Dhaka Tribune,Jan 31 2019,Two killed in Thakurgaon road crash,Two killed in Thakurgaon road,2,0
507,Dhaka Tribune,Jan 29 2019,4 killed as truck falls into Turag river in Ashulia,4 killed as truck falls into Turag river...,4,0
508,Dhaka Tribune,Jan 29 2019,Siblings run over by truck in Keraniganj,Siblings run over by truck in...,2,0
509,Dhaka Tribune,Jan 28 2019,3 killed in Dhaka road accidents,3 killed in Dhaka road accidents,3,0
510,Dhaka Tribune,Jan 25 2019,Road crashes kill six across the country,Road crashes kill six across the...,6,0
511,Dhaka Tribune,Jan 24 2019,9 killed in road crashes in 2 districts,9 killed in road crashes in 2...,9,0
512,Dhaka Tribune,Jan 23 2019,6 members of a family among 7 killed in Lakshmipur road accident,6 members of a family among 7 killed...,7,0
513,Dhaka Tribune,Jan 23 2019,Road crashes kill nine in 6 districts,Road crashes kill nine in 6...,9,0
514,Dhaka Tribune,Jan 22 2019,Woman killed in Bogra road accident,Woman killed in Bogra road,1,0
515,Dhaka Tribune,Jan 22 2019,One killed as train hits lorry in Tangail,One killed as train hits lorry in...,1,0
516,Dhaka Tribune,Jan 22 2019,Eight killed in road crashes across country,Eight killed in road crashes across...,8,0
517,Dhaka Tribune,Jan 21 2019,Road crashes kill 8 in three districts,Road crashes kill 8 in three...,2,0
518,Dhaka Tribune,Jan 20 2019,2 killed in Brahmanbaria road accident,2 killed in Brahmanbaria road...,2,0
519,Dhaka Tribune,Jan 19 2019,"2 killed, 20 injured in Noakhali bus accident","2 killed, 20 injured in Noakhali bus...",2,20
520,Dhaka Tribune,Jan 17 2019,Road accidents kill 9 in four districts,Road accidents kill 9 in four...,9,0
521,Dhaka Tribune,Jan 15 2019,Attempt on Ahona's life: Truck driver claims self defence,Attempt on Ahona's life: Truck driver...,0,1
522,Dhaka Tribune,Jan 13 2019,Two killed in Keraniganj road accident,Two killed in Keraniganj road...,2,0
523,Dhaka Tribune,Jan 13 2019,"Truck driver, helper responsible for actor Ahona’s injury arrested","Truck driver, helper responsible for...",0,1
524,Dhaka Tribune,Jan 12 2019,AL leader killed in Lalmonirhat road accident,AL leader killed in Lalmonirhat road...,1,0
525,Dhaka Tribune,Jan 12 2019,Road accidents kill eight in three districts,Road accidents kill eight in three...,8,0
526,Dhaka Tribune,Jan 9 2019,2 killed in Netrokona road accident,2 killed in Netrokona road,2,0
527,Dhaka Tribune,Jan 6 2019,Road crashes kill 6 in four districts,Road crashes kill 6 in four...,6,0
528,Dhaka Tribune,Jan 5 2019,"2 run over, killed by truck in Ashulia","2 run over, killed by truck in...",2,0
529,Dhaka Tribune,Jan 4 2019,"Bus-truck collision kills 1, injures 10 in Tangail","Bus-truck collision kills 1, injures...",1,10
530,Dhaka Tribune,Jan 3 2019,Rampage in Malibagh as reckless bus driving kills RMG worker,Rampage in Malibagh as reckless bus...,1,0
531,Dhaka Tribune,Jan 1 2019,"3 killed, 40 injured in Chittagong road accident","3 killed, 40 injured in Chittagong road...",3,40
532,Dhaka Tribune,Dec 27 2018,2 killed in Dhaka road accident,2 killed in Dhaka road accident,2,0
533,Dhaka Tribune,Dec 25 2018,"1 killed, 21 injured in Tangail road accident","1 killed, 21 injured in Tangail road...",1,21
534,Dhaka Tribune,Dec 23 2018,"3 killed in Bagerhat, Gazipur road accidents","3 killed in Bagerhat, Gazipur road...",3,0
535,Dhaka Tribune,Dec 22 2018,11 killed in Gopalganj road crash,11 killed in Gopalganj road crash,11,0
536,Dhaka Tribune,Dec 20 2018,3 killed as bus hits roadside tree in Bagerhat,3 killed as bus hits roadside tree in...,3,0
537,Dhaka Tribune,Dec 20 2018,Road accidents kill 9 across Bangladesh,Road accidents kill 9 across...,9,0
538,Dhaka Tribune,Dec 17 2018,Army personnel killed in Sirajganj road accident,Army personnel killed in Sirajganj road...,1,0
539,Dhaka Tribune,Dec 14 2018,Road crashes kill 8 in four districts,Road crashes kill 8 in four...,8,0
540,Dhaka Tribune,Dec 13 2018,13 killed as bus falls down gorge in Indian Kashmir,13 killed as bus falls down gorge in...,13,0
541,Dhaka Tribune,Dec 8 2018,Female ophthalmologist killed in Dhaka road accident,Female ophthalmologist killed in Dhaka...,1,0
542,Dhaka Tribune,Dec 4 2018,11 killed in road crashes in three districts,11 killed in road crashes in three...,11,0
543,Dhaka Tribune,Dec 3 2018,3 labourers killed in Pabna road accident,3 labourers killed in Pabna road...,3,0
544,Dhaka Tribune,Dec 2 2018,11 killed in road crashes across country,11 killed in road crashes across...,11,0
545,Dhaka Tribune,Nov 29 2018,10 killed in road crashes across country,10 killed in road crashes across...,10,0
546,Dhaka Tribune,Nov 25 2018,Three killed in two road accidents in Savar,Three killed in two road accidents in...,3,0
547,Dhaka Tribune,Nov 24 2018,1 spot dead and 25 injured in Habiganj road accident,1 spot dead and 25 injured in Habiganj...,1,25
548,Dhaka Tribune,Nov 24 2018,10 RMG workers injured in Gazipur road accident,10 RMG workers injured in Gazipur road...,,10
549,Dhaka Tribune,Nov 24 2018,7 killed in road crashes across country,7 killed in road crashes across...,7,0
550,Dhaka Tribune,Nov 18 2018,4 killed in road crashes across country,4 killed in road crashes across...,4,0
