headline,summary,time_0f_incident
17 killed in Rangpur road accident,"At least 17 people were killed and nine others critically injured in a road accident at Kolabari on Dhaka-Rangpur highway in Pirganj upazila early Saturday.
The dead were identified as Rabiul Islam, 40, Azizul Islam, 35, Suporna Begum, 10, Kohinur Begum, 30, Jhantu Mia, 35, Moznu Mia, 29, Nasida Akter, 40, Alamgir Hossain, 27, Delwar Hossain, 25, Jashim Uddin, 26, Anisuzzaman, 35, Shahiduzzaman 30, Saddam Hossain, 24, Munir Hossain, 24, Rafiqul Islam, 24, and Khalil Mia, 32.
Most of the victims were residents of Kaliganj upazila in Lalmonirhat district, police said.
Rezaul Karim, officer-in-charge of Pirganj police station, said a Rangpur-bound cement-laden truck skidded off the road and fell into a ditch around 5:00am after its driver lost control over the steering, leaving 11 people dead  on the spot and 15 others injured.
The injured were taken to Pirganj Upazila Health Complex where doctors declared six people dead.Later, the injured were shifted to Rangpur Medical College and Hospital for better treatment.
“Around 40 people mostly RMG workers and day labourers got on the truck to go to their village homes from Dhaka and Gazipur for celebrating Eid with their family members,” the police official said.
He said most of them died as cement sacks fell on them after the truck plunged into the ditch.
Assistant superintendent of police (Borodorga highway police) Dhirendra Nath Sarker said, “The accident occurred because the driver was sleeping and the helper was driving the vehicle.”
The injured were identified as Jamila Begum, 60, Moyna Akter, 30, Mominul Islam, 34, Khalil Ahmed, 25, Dulal Mia, 30, Abdul Matin, 25, Mozaffar Ali, 25, and Rahima Begum, 38.
The bodies were kept at Borodorga highway police outpost and Pirganj Upazila Health Complex.
Road Transport and Bridges Minister Obaidul Quader expressed condolence over death of 17 people in Rangpur road accident.
An investigation committee has been formed to probe the accident, the minister told reporters after visiting Dhaka-Aricha highway in Savar on Saturday.
Rangpur Deputy Commissioner Muhammad Wahiduzzaman said, “The families of the deceased would get Tk 20,000 each while the injured victims would get Tk 5,000 each.”
UNB reports from Gazipur: Three people were killed and 10 others injured as a truck collided head-on with a human hauler in Mouchak area on Saturday noon.
However, the deceased could not be identified till filing of the report in the afternoon.
Police said the truck collided head-on with the human hauler on Dhaka- Tangail highway, leaving three people dead on the spot and 10 others injured.
The injured were admitted to Shaheed Tajuddin Ahmed Medical College and Hospital for treatment.
Another report from Comilla adds: Three people were killed and two others injured as a covered van hit a CNG-run auto-rickshaw in Otiya area of Laksam upazila on Saturday afternoon.
However, the identities of the deceased could not be identified.
Police said that the accident took place when the covered van rammed into the auto-rickshaw, leaving three auto-rickshaw passengers dead on the spot and two others injured.","25 June, 2017 12:00 AM"
Auto-rickshaw driver killed in road accident,"An auto-rickshaw driver was killed after his vehicle collided with a passenger bus in the capital’s New Market area on Wednesday morning.The deceased was identified as Golam Mostofa, 45, a resident of Rampura.Witnesses said that a head-on collision ensued between the auto-rickshaw and the bus of Thikana Paribahan at Nilkhet crossing, leaving the auto-rickshaw driver seriously injured.He was rushed to the DMCH but doctors declared him dead at about 7:45am, said Inspector Bachhu Mia, in-charge of the DMCH Police Outpost.The body was kept at the hospital’s morgue for autopsy, he said.","8 April, 2021 12:00 AM"
2 cops killed in Lalmonirhat road accident,"Two policemen were killed when a stone-laden truck hit their running motorcycle at Khan Bazar point on the Lalmonirhat-Burimari highway under Hati-bandha upazila of Lalmonirhat district on Monday,reports BSS.The deceased were identified as Sub-Inspector (SI) Abdul Matin, 45, of the District Special Branch (DSB)              hailing from Bhurungamari upazila in Kurigram district and its Constable Majibul Haque, 50, hailing from Gangachara upazila in Rangpur district.They were working at Hatibandha Police Station in Lalmonirhat.SI Matin and Constable Majibul went to Fakirpara Union Parishad (UP) office riding on a motorcycle and collected information on the next union parishad elections.“When the speedy truck hit their motorcycle from behind on their way back, they fell under the wheels of the truck and were crushed to death on the spot,” the OC said.“Later, the bodies were sent to Lalmonirhat Sadar Hospital for autopsy,” the OC added.Superintendent of Police of Lalmonirhat Abida Sultana with senior police officials immediately rushed to the spot.“The first Namaz-e-Janaza of the deceased policemen will be held at Hatibandha Police Station followed by their second Namaz-e-Janaza at Lalmonirhat Police Lines tonight,” the OC said, adding that the bodies will be sent to their respective houses. ","18th January, 2021 10:22:10 PM"
Seven die in Dinajpur road accident,"Seven passengers of a rickshaw-van were killed in a fatal road accident at 25-mile point on the Dinajpur-Panchagarh highway in Birganj upazila of Dinajpur on Monday.“The accident occurred when a Rangpur bound BRTC passenger bus from Panchagarh hit the rickshaw-van there at 2:30 pm killing four of its passengers and injuring three others,” Officer-in-Charge (OC) of Doshmile Highway Thana Police GM Nur told BSS.Being informed, police and Fire Service and Civil Defence personnel from Birganj station rushed to the spot, rescued the injured persons and bodies and salvaged the BRTC bus that fell down into the roadside ditch.The injured persons were sent to Birganj Upazila Health Complex (BUHC) where the driver of the rickshaw-van succumbed to his injuries and two critically injured passengers were shifted to M Abdur Rahman Medical College Hospital (MARMCH) in Dinajpur.“The two shifted injured passengers, including a male and a female, died at MARMCH in Dinajpur town this afternoon,” Birganj Upazila Health and Family Planning Officer Dr. Mohsin Ullah told BSS at 7 pm.The seven deceased people are Nasrine Begum, 50, and her daughter Rupa Khatun, 8, of village Bhabki, Abul Hossain, 60, his wife Asma Khatun, 45, and their daughter-in-law Namiya Khatun, 8, of village Debipur in Kaharol upazila and Nargis Begum, 35, of village Muriowla in Birganj upazila of Dinajpur district.“However, identity of the deceased male driver, 40, of the rickshaw-van could not be known and his body was remaining at BUHC till 7 pm,” Dr. Mohsin said.“A case was filed in this connection with Birganj Thana police in Dinajpur this evening,” OC GM Nur told BSS, adding that the killer BRTC bus has been seized though its driver and helper managed to flee from the scene.","6th July, 2020 03:39:03 PM"
5 of a family killed in Sylhet road accident,"Five people were killed and another injured after a bus hit a private car on Dhaka-Sylhet highway at Boraya Chanpur in Osmaninagar upazila  on Friday morning.The identities of the deceased could not be known immediately.On information, a firefighting unit went to the spot and recovered the bodies.The injured was taken to a local hospital.","31st July, 2020 09:55:43 AM"
2 killed in Gazipur road accident,"GAZIPUR: Two people were killed in two separate road accidents in the district on Saturday, reports BSS.The deceased were identified as Shamim Hossain, 36, of Sirajganj district and Mehedi Hasan, 14, an inhabitant in Sherpur.On the other hand, Mehedi, a helper of a pickup was killed when a truck hit his pickup in Porabari area in Gazipur city.Mehedi was rushed to Shaheed Tazuddin Ahmad Medical College Hospital where doctors declared him dead. ","30th January, 2021 10:40:15 PM"
Mymensingh divisional commissioner injured in Gazipur road accident,"Three persons, including Mymensingh divisional commissioner Khondoker Mustafizur Rahman, were injured in a road accident in Rajendrapur upazilla of Gazipur on Saturday morning.The other injured are the divisional commissioner’s jeep driver Helalur Rahman and bodyguard Abdul Barek.“Mustafizur Rahman sustained minor injuries on his head, hands and legs. Two other injured are out of danger now.” he added.On receiving information, the divisional commissioner was set to attend the senate session of the National University in Gazipur on Friday morning. Mustafizur Rahman was traveling to the NU campus to attend the session. On his way to the destination, his jeep faced the road accident when its driver tried to give side to another car.","15th February, 2020 12:26:20 PM"
Three killed in Chandpur road accident,"An auto-rickshaw driver and two passengers were killed and three others injured when a speeding bus rammed into the three-wheeler at Kakoirtala of Shahrasti upazila in Chandpur on Wednesday.The deceased were identified as -- auto-rickshaw driver Monir Hossain, 35, hailed from Hossainpur village of the upazila, Gunodhar Chakrabarty, 70, a native of Charpandia village in Sonagazi upazila of Feni, and Hari Chandra Chakrabarty, 55, an inhabitant of Char Amanullah in Noakhali.The injured were admitted to a local hospital where another person died.On information, police recovered the damaged auto-rickshaw and the bodies from the spot, and seized the bus.The bodies were handed over to family members.","30 July, 2020 12:00 AM"
Planning Minister MA Mannan escapes fatal road accident,"Planning Minister MA Mannan has narrowly escaped a fatal road accident this morning (Wednesday) as the car carrying him collided head-on with a private car in Raypura area of Narsingdi on Dhaka-Sylhet highway.Though, no one was injured in the accident, the front side of the minister’s car has been damaged. The minister was heading towards Sylhet to attend a relief distribution program. ","20th May, 2020 02:33:22 PM"
Two killed in Comilla road accident,"COMILLA: A truck driver and his assistant were killed on Tuesday as a truck hit another electric generator laden-truck on Dhaka-Chittagong Highway at Sonakathia area in Chauddagram upazila, reports UNB.The deceased were identified as driver Nasir Uddin, 55, son of late Golam Mahmud of Dhururang village in Fatikchhari upazila of Chittagong district and his assistant Abdul Hamid, 25, son of Dudu Mia of Shikandarpara village in Chakaria upazila of Cox’s Bazar district.On information, police recovered the bodies and seized the truck, the SI added.","28 March, 2018 12:00 AM"
2 killed in Habiganj road accident,"HABIGANJ: Two people were killed and two others injured as a truck hit a roadside shop in Dakbanglow area on the Dhaka-Sylhet highway under Madhobpur upazila of the district on Friday, reports BSS.The deceased were identified as Ayub Ali, 35, a resident of Madhobpur municipality and owner of the shop and Jonaeid Mia, 28, hailed from Bijoynagar upazila.","12 May, 2019 12:00 AM"
Man killed in Khagrachhari road accident,"KHAGRACHHARI: A man was killed as two three-wheelers collided head-on at Dighinala upazila in Khagrachhari district on Saturday morning.The deceased was identified as Subhas Chandra Nath, a resident of Rashik Nagar area.Dighinala Police Station Officer-in-Charge (OC) Uttam Chandra Deb said police recovered the body from the spot. ","23rd January, 2021 11:19:27 PM"
9 killed in C’ganj road accident,"Nine people were killed and six others injured when a rice-laden human-hauler overturned and plunged into a ditch near Bhanga Bridge in Shibganj Upazila of Chapainawabganj early Thursday.Seven of the deceased were identified as Babu, son of Erfan Ali, Tazemul Haque, son of Sheikh Mohammad, Mithun, son of Tazemul, Karim, son of Kabiluddin, Milu, son of Amanul, Abul Kashem, son of Naushad, and Ataur Rahman, son of Rahman, of Shahbazpur area in the upazila.""One side of the road was cracked and when the wheels hit the crack, the vehicle overturned and fell into a ditch,” a fireman said.On information, police and firefighters rushed to the spot and conducted a rescue operation.The injured were rescued and sent to the District Sadar Hospital and Shibganj Upazila Health Complex. Two more succumbed to their injuries at the health complex.Shibganj Fire Service Station Officer Md Sirajuddin said, “The victims are all farm workers. They were returning to Shibganj after cutting paddy in Barinda area.”A fireman at Shibganj fire station said there were 15 workers sitting on sacks of rice in the vehicle.","20 November, 2020 12:00 AM"
Road accident,A truck lies smashed after it overturned on bypass road in Vatikhain area under Patia upazila of Chattogram on Thursday.    —Rabin Chowdhury,"11 October, 2019 12:00 AM"
Constable killed in Kishoreganj road accident,"A police constable was killed as a pick-up van run over him while he was discharging his duty on Kishoreganj-Bhairab highway at Pirijpur area in Bajitpur upazila of Kishoreganj early Thursday.The deceased was identified as Jahidul Islam, 20, son of Gulu Mia, hailing from Dapunia village of Hossainpur upazila.","28th November, 2019 01:35:51 PM"
Pedestrian killed in Ctg road accident,"CHATTOGRAM: A pedestrian was killed in a road accident at Sitakunda Upazila in the district on Monday. The deceased was identified as Md Shamsul Alam, 40, son of Md Ali of Barabkunda area under the upazila.Sitakunda Fire Station Senior Officer Tasharaf Hossain said that a Chattogram-bound cattle-laden truck ran over Shamsul while he was crossing the road in Barabkunda Bazar area around 8:30am.","19th October, 2020 10:41:57 PM"
Man killed in Ctg road accident,"CHITTAGONG: A person was killed in a road accident at Sitakunda upazila in the district on Wednesday.
The deceased was identified as Babul Das, 56, son of Monoranjan Das of Das Para in Bhatiari area under the upazila.
Officer-in-Charge (OC) Saleh Ahmed Pathan of Baro Aulia Highway Police Station said the accident took place in the morning when a Chittagong-bound oil-laden lorry hit Babul while he was crossing road on Dhaka-Chittagong highway in the Bhatiari area.
The accident left him killed on the spot, said the OC.
Police detained the lorry, but its driver and helper managed to flee, he added. ","27 April, 2017 12:00 AM"
Child killed in Manikganj road accident,"MANIKGANJ: An infant schoolgirl was killed in a road accident in front of SP office of Manikganj Sadar upazila on Saturday, reports BSS.The victim was identified as Eshita 5, daughter of Sohel Rana of village Ukiara under Manikganj Sadar upazila and a student of Play Group of Holy Flower School and College of the Manikganj district town.","25 March, 2018 12:00 AM"
Awami League leader killed in Savar road accident,"A local Awami League leader was killed after a truck hit an auto-rickshaw in Baliapur area of Hemayetpur upazila in Savar, on the outskirts of Dhaka, on Wednesday morning.The deceased was identified as Emdadul Haque, president of Awami League in Tetuljhora union.","15th April, 2020 12:59:54 PM"
Two laborers killed in Bagerhat road accident,"Two laborers were killed and eight other laborers injured as a crane overturned in Sarankhola Upazila of Bagerhat district on Wednesday.

The deceased were identified as Tuhin Mir, 30, a resident at Chalraenda village and Palash Halder, 38, an inhabitant at Tafalbari village of the Upazila. 

Witness said the accident took place at around 11 am in Lakurtola area on Raenda-Tafalbari Road. Tuhin and Palsh died as they were being rushed to Khulna Medical College Hospital, reports BSS.

The injured laborers were admitted to Sarankhola Health Complex and Khulna Medical College Hospital. 

Officer-in-Charge of Sarankhola Thana Md Kobirul Islam confirmed the incident.","7th February, 2018 08:29:19 PM"
